,微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置,,
1573,Jtijqeucl,新浪财经,男,北京,2691,23221700,新浪财经:【复星医药：mRNA新冠疫苗无需在中国做三期临床 获批后可直接使用】复星医药全球研发中心总裁回爱民表示，mRNA新冠疫苗在中国是不需要再做一个三期临床试验的，这个也是全球的共识——全球有一个临床试验，各个国家都可以注册使用。目前，复星医药已在机场附近建立仓库用来以后对疫苗进行深冷储存。疫苗使用时，在2到8度的情况下可以放置五天。 ,无,2020/11/10 21:00,微博 weibo.com,76,18,54,无,"疫苗,使用,医药,全球,新冠",
1574,JtiwI3lmN,21世纪商业评论,男,广东,800,1371931,21世纪商业评论:【一线解密：最强新冠疫苗是如何研发的？】可保障中国市场的充分供应。 一线解密：最强新冠疫苗是如何研发的？ ,无,2020/11/10 21:33,微博 weibo.com,3,0,0,无,"市场,中国,评论,疫苗,商业",
1575,JtiADdA2b,淘宗主_马喆明,男,上海,162,33323,淘宗主_马喆明:#辉瑞称疫苗阻止90%感染# #巴西暂停中国新冠疫苗试验#发布了头条文章：《疫苗的成功率真的可以按辉瑞那个统计方法么？》 A股抢先报，11.10：疫苗的成功率真的可以按辉瑞那个统计方法么？ ,无,2020/11/10 21:42,微博 weibo.com,10,2,7,无,"疫苗,试验,新冠,发布,统计",
1576,JtiOxq1d0,秦国安先生,男,湖北,156,39225,秦国安先生:#秦国安股市交流[超话]#【复星医药：与BioNTech就新冠疫苗合作在有序推进 区域内能否获批上市以及上市时间存不确定性】复星医药公告，公司控股子公司复星医药产业获BioNTech 授权在区域内（即“中国大陆及港澳台地区”）开展mRNA新型冠状病毒疫苗产品的开发和商业化。复星医药产业与BioNTech就新冠疫苗在区域内的合作在有序推进中。截至目前，全球范围内尚无基于mRNA技术平台研发的预防性疫苗获得上市批准。在研新冠疫苗在区域内能否获得药品监管机构批准、于区域内的上市时间存在不确定性。 ,无,2020/11/10 22:17,秦国安股市交流超话,3,0,0,无,"上市,疫苗,区域,能否,秦国",
1577,JtiPWBgBj,复星医药sh600196,女,北京,30,2515,复星医药sh600196:复星医药 sh600196 复星医药(600196.SH)子公司与BioNTech就新冠疫苗于中国的合作在有序推进中，点击链接查看更多-> ,无,2020/11/10 22:20,微博股票,0,1,0,无,"点击,合作,有序,推进,链接",
1578,JtiVkcXdM,弘扬boy,男,内蒙古,305,101,弘扬boy:#辉瑞新冠疫苗#不懂就问。。。中国的疫苗不是早就研发出来了么？这个比中国的厉害么？ ,无,2020/11/10 22:33,iPhone客户端,1,0,2,无,"疫苗,新冠,中国,出来",
1579,JtiW2fKYW,美国侨报网,男,海外,764,730319,美国侨报网:【巴西暂停中国疫苗临床研究 科兴：试验机构认为事件与疫苗无关】中国企业科兴研发的新冠疫苗“CoronaVac”在巴西的Ⅲ期临床研究被暂停。巴西卫生监管机构Anvisa在9日表示，此前发生“严重不良反应”。科兴10日回应称，经与巴西合作伙伴布坦坦研究所沟通，该所负责人认为这一事件与疫苗无关。正在对该疫苗进行试验的布坦坦研究所的所长表示，Anvisa的声明很让人困惑，“因为这是与疫苗无关的死亡案例”。科兴疫苗在巴西最大的支持者是圣保罗州州长多里亚，但多里亚是巴西总统博索纳罗的头号反对者。有媒体称，时常表达反华言论的博索纳罗，曾批评科兴的新冠疫苗缺乏公信力，并表明联邦政府不会购买他们的疫苗。详情： #科兴# #巴西卫生机构下令暂停对中国疫苗的实验# #外交部回应巴西暂停对中国疫苗的实验# #疫苗# #新冠疫苗# [组图共3张] 原图 ,无,2020/11/10 22:35,微博 weibo.com,7,3,4,无,"疫苗,巴西,科兴,中国,研究所",
1580,JtiX1qL0I,股市全是故事,男,北京,192,422161,股市全是故事:#陈薇团队为新冠康复者研制新药#如果过三月中国辉瑞新冠疫苗吹没有打上疫苗他们还会不会继续收钱发帖？#美国正进入疫情暴发以来最严重阶段# ,无,2020/11/10 22:38,荣耀V30 PRO 5G,4,0,0,无,"新冠,疫苗,美国,暴发,收钱",
1581,JtiYOiKrC,智飞生物sz300122,女,北京,5,1071,智飞生物sz300122: 辉瑞新冠疫苗带崩医疗板块？中国疫苗研发紧随其后，点击链接查看更多-> ,无,2020/11/10 22:42,微博股票,0,1,0,无,"疫苗,板块,医疗,带崩,点击",
1582,Jtj3Njl9P,199IT-互联网数据资讯网,男,北京,1912,388892,199IT-互联网数据资讯网:全球四大电商网站全线暴跌，拼多多暴跌超6%，阿里巴巴暴跌8%，京东暴跌7%，亚马逊跌2.5%；打破了近十年的记录，2020年将是各行各业的分水岭。电商暴跌主要受两个方面影响：1、中国开启反垄断；2、新冠疫苗重大突破。 ,无,2020/11/10 22:54,微博国际版,12,14,9,无,"暴跌,电商,全球,反垄断,中国",
1583,JtjidfC4G,前海时代财经,男,广东,531,446149,前海时代财经:最新消息！晚间上市公司公告汇总，来看看有没有和自己股票相关的消息。1.中金公司：公司未发现其他可能对公司股价产生较大影响的重大事件。（短期涨幅较大）2.华英农业：10月份鸭苗销售收入环比增长53.87%。3.国金证券：自7月7日至11月9日，涌金投资通过二级市场集中竞价方式共计减持公司股份3329.9万股，占公司总股本比例的1.1%。4.复星医药：mRNA新冠疫苗中国市场毛利65%归复星。5.国祯环保：联合体中标钟油坊污水处理厂工程DBO项目工程建设费3.9亿元6.新时达：拟以1500万-3000万元回购股份，回购价格不超过7元/股，回购股份拟全部用于股权激励或员工持股计划。7.润欣科技：拟定增募资不超过1.4亿元，用于无线信标、微能量收集芯片及IC系统方案项目和高清LED驱动、控制芯片与IC系统方案项目。8.韦尔股份：股东青岛融通拟减持公司不超1%股份。（股东减持，股价承压）9.三超新材：持股13.97%的股东刘建勋拟减持不超过3%的公司股份。（股东减持，股价承压）10.创新医疗：股东富浙资本进一步增持0.77%股份创新医疗。11.奥福环保：山东红桥创业投资有限公司等4名股东拟合计减持不超过5.33%的公司股份。（股东减持，股价承压）12.环旭电子：10月合并营业收入同比增加57.94%。#基金##A股##股票# ,无,2020/11/10 23:30,iPhone 12,44,4,3,无,"股东,股份,减持,公司,股票",
1584,Jtjilb1IA,校对网站长,男,广东,1346,10247,校对网站长:辉瑞一发布新冠疫苗，中国一帮子跪族哭天抢地，世界终于有救了。哈哈。好可笑啊。这样慕洋也忒砢碜。中国疫苗100%有效。辉瑞自己宣布只有90%有效，而且是政治意图宣布疫苗，特朗普都证明了。看不下去了。这届中国精英太丢人。 ,无,2020/11/10 23:30,微博 weibo.com,3,6,5,无,"疫苗,中国,网站,有救,慕洋",
1585,JtjrT17ib,环球时报-英文版,男,北京,267,1015643,环球时报-英文版:【西方媒体对巴西叫停中国疫苗临床试验的报道是偏颇的】中国的科研机构最早分离出了新冠病毒的毒株，最早投入了疫苗研制，而且这一切处于国家的严格管控之下。我本人对中国疫苗研制以及抗疫整体上的严肃性抱有信心。GlobalTimes的秒拍视频 ,无,2020/11/10 23:54,微博 weibo.com,10,2,5,无,"中国,疫苗,研制,分离,管控",
1586,Jtjv2mopA,米格战斗飞机联合体,男,西藏,3017,1737338,米格战斗飞机联合体:#外交部回应巴西暂停对中国疫苗的实验#上次巴西还说不买中国的疫苗了，后来又买了。把疫苗政治化意识形态化，是对国民的不负责任。国外大品牌的疫苗只有90%的可靠性。也就是说10%的人注射无效。按照罹患新冠百分之一的死亡率计算，注射这种疫苗1000个人就有一个死亡。这么不可靠的疫苗有多少人敢注射。#新冠疫苗全球竞速# ,无,2020/11/11 0:01,荣耀20,7,5,5,无,"疫苗,注射,新冠,中国,巴西",
1587,JtjwI3nc3,狙击手伍德,男,天津,353,172888,狙击手伍德:#新冠疫苗全球竞速# #沃森生物高管称老百姓要信任国产疫苗# 11月6日，云南沃森生物副董事长黄镇在中国大健康大文旅高峰发展论坛上称，中国的老百姓认为国外的疫苗强于国内的疫苗是比较偏颇。山东疫苗事件、长生疫苗事件以后，中国疫苗产业大浪淘沙，留下来的中国疫苗企在世界上也是可以跟国外企业同台竞争，同台抗衡。 ,无,2020/11/11 0:06,微博 weibo.com,2,1,0,无,"疫苗,中国,事件,同台,老百姓",
1588,JtjCWfL6V,紫扬剑的微博,男,江苏,1970,2135,紫扬剑的微博:【全球疫情日报｜美累计确诊超千万，辉瑞称其疫苗效果好于预期】全球疫情持续发展。美国累计报告的确诊病例数突破1000万例。与此同时，美国制药巨头辉瑞公司与德国生物新技术公司发布消息称，双方合作研发的新冠疫苗效果好于预期。截至北京时间11月10日19时，中国以外新冠肺炎累计确诊病例超过5120万例，累计死亡病例数超过126.6万例。相较昨日，国外单日新增确诊病例超过53万例，新增死亡病例将近8000例。 原图 ,无,2020/11/11 0:21,澎湃新闻,0,1,1,无,"累计,病例,确诊,预期,超过",
1589,JtjF4lVlp,龙在天涯8333,男,贵州,3345,147069,龙在天涯8333:据界面新闻11月10日最新报道，巴西卫生监督局（Anvisa）周一发布声明称，已经下令暂停了中国科兴生物在当地的新冠疫苗测试，理由是10月29日发生了“严重不良事件”。这份声明还指出，疫苗试验依照规定暂停，目前Anvisa在继续分析该研究的风险回报。不过，巴西权威生物医药研究中心圣保罗布坦坦研究所主任马斯·科瓦斯向媒体表示，疫苗试验中止的原因是一名志愿者死亡，但死亡原因与疫苗无关。《突发，巴西刚刚叫停中国疫苗试验！怎么回事？》据界面新闻11月10日最新报道，巴西卫生监督局 周一发布声明称，已经下令暂停了中国科兴生物在当地的新冠疫苗测试，理由是10月29日发生了“严重不良事件”。 原图 ,无,2020/11/11 0:26,百度App,2,0,1,无,"疫苗,巴西,研究,试验,声明",
1590,JtjFum76O,玉雪精灵,女,海外,1122,16223,玉雪精灵:#疫苗能改变全球疫情的现状吗# 好可怕真的是 好可怕好严重真的是 好严重每一天看着 还在不断增加的 数字外国的 新冠肺炎它会什么时候 像 中国 一样 会控制住不够确定疫苗 会有多少的改变 现状致少 会有 希望相信 疫苗 不会有 失望 ,无,2020/11/11 0:27,玉雪精灵iPhone 6s Plus(玫瑰金),1,0,0,无,"疫苗,改变,外国,现状,肺炎",
1591,JtjWyhauw,李毅先生,男,海外,108,22297,李毅先生:巴西暂停中国产新冠疫苗临床试验巴西国家卫生监督局表示，由于10月29日报告有不良反应，已叫停中国科兴所产新冠疫苗在巴西展开的III期试验。 ,无,2020/11/11 1:09,微博 weibo.com,9,1,1,无,"巴西,疫苗,中国,新冠,国家",
1592,JtkclcTwZ,美国侨报网,男,海外,764,730319,美国侨报网:【#中国疫苗# 】巴西暂停中国疫苗临床研究 科兴：试验机构认为事件与疫苗无关【侨报网综合讯】中国企业科兴研发的新冠疫苗“CoronaVac”在巴西的Ⅲ期临床研究被暂停。巴西卫生监管机构称涉及“严重不良反应”。科兴回应，经与巴西合作伙伴沟通，对方负责人认为这一事件与疫苗无关。巴西卫生监管机构称疫苗引发“严重不良反应”，尚无其他国家宣布暂停试验路透社报道，巴西的卫生监管机构Anvisa在9日表示，已暂停中国科兴新冠病毒疫苗的临床试验，因在10月29日发生“严重不良反应”，但没有立即提供进一步细节。 原图 ,无,2020/11/11 1:48,微博 weibo.com,3,2,1,无,"疫苗,巴西,科兴,机构,中国",
1593,JtkiU5oW9,天才的预言,女,北京,199,89,天才的预言:今日复兴医药涨停，原因德国与美国辉瑞合作研发生产的新冠疫苗达到90%的有效率，将通过批准后大量生产使用。复兴投资给德国这家疫苗研制企业1.2亿欧元，辉瑞与德国用中国企业的资金研发了新冠疫苗。早些时候，国药自称新冠疫苗已经销往国外许多国家，包括沙特及德国等。问题来了：德国自己有能力研制疫苗，为何还要从中国的国药集团进口呢？另外复兴投资给德国1.2亿欧元，自己从中受益多少倍呢？为何不投资给国内医药企业呢？辉瑞大张旗鼓在全世界宣传新冠疫苗如何成功，反过来中国国药集团是研制灭活新冠疫苗最早的企业，这德国与美国辉瑞研究新冠疫苗，中国企业巨额出资，还真有些地方蹊跷的不要不要的… ,无,2020/11/11 2:04,vivo S5照亮你的美,1,0,0,无,"疫苗,德国,新冠,中国,企业",
1594,JtkwT3OZk,香港商報網,男,香港,389,1590875,香港商報網:#巴西新冠疫苗志愿者死因是自杀#【外媒：巴西接种中国新冠疫苗后死亡的志愿者是自杀】据外媒报道，在当地时间11月9日，巴西卫生监督局发布了一则声明，声称中国科兴生物在当地进行的疫苗测试出现了「严重不良事件」，所以暂时停止了中国科兴疫苗的所有试验。之后布坦坦研究所主任马斯•科瓦斯表示，该「严重不良事件」指的是有一名志愿者在参与疫苗试验中死亡。当地时间10日，巴西媒体TV Cultura报道称，已经看过涉事实验志愿者的验尸报告，指当事人的死亡与疫苗无关，是自杀。10日，#外交部回应巴西暂停对中国疫苗的实验# ，汪文斌表示，我们注意到北京科兴生物有限公司已经就有关的报道做出了回应。据科兴公司在巴西合作伙伴布坦坦研究所判定，有关的事件同疫苗无关。详情： [组图共2张] 原图 ,无,2020/11/11 2:39,微博 weibo.com,3378,485,173,无,"疫苗,巴西,科兴,中国,志愿者",
1595,Jtkz8039L,扎西德勒·天珠收藏,男,西藏,3609,151129,扎西德勒·天珠收藏:【外媒：#巴西接种中国新冠疫苗后死亡的志愿者是自杀#】据外媒报道，在当地时间11月9日，巴西卫生监督局发布了一则声明，声称中国科兴生物在当地进行的疫苗测试出现了「严重不良事件」，所以暂时停止了中国科兴疫苗的所有试验。之后布坦坦研究所主任马斯•科瓦斯表示，该「严重不良事件」指的是有一名志愿者在参与疫苗试验中死亡。当地时间10日，巴西媒体TV Cultura报道称，已经看过涉事实验志愿者的验尸报告，指当事人的死亡与疫苗无关，是自杀。10日，#外交部回应巴西暂停对中国疫苗的实验# ，汪文斌表示，我们注意到北京科兴生物有限公司已经就有关的报道做出了回应。据科兴公司在巴西合作伙伴布坦坦研究所判定，有关的事件同疫苗无关。 原图 ,无,2020/11/11 2:44,无,10,4,6,无,"疫苗,巴西,科兴,中国,死亡",
1596,JtkCM20Z0,十里春风ff,男,其他,341,520,十里春风ff:#疫情快讯# 【外媒：巴西接种中国新冠疫苗后死亡的志愿者是自杀】据外媒报道，在当地时间11月9日，巴西卫生监督局发布了一则声明，声称中国科兴生物在当地进行的疫苗测试出现了「严重不良事件」，所以暂时停止了中国科兴疫苗的所有试验。之后布坦坦研究所主任马斯•科瓦斯表示，该「严重不良事件」指的是有一名志愿者在参与疫苗试验中死亡。当地时间10日，巴西媒体TV Cultura报道称，已经看过涉事实验志愿者的验尸报告，指当事人的死亡与疫苗无关，是自杀。10日，#外交部回应巴西暂停对中国疫苗的实验# ，汪文斌表示，我们注意到北京科兴生物有限公司已经就有关的报道做出了回应。据科兴公司在巴西合作伙伴布坦坦研究所判定，有关的事件同疫苗无关。详情： ,无,2020/11/11 2:53,荣耀 Play4T Pro,3,1,3,无,"疫苗,科兴,巴西,中国,死亡",
1597,JtlEDkRna,看山是水_,男,浙江,109,146829,看山是水_:巴西接种中国新冠疫苗后死亡的志愿者是自杀 ,无,2020/11/11 5:31,vivo Y70s 5G,9,0,4,无,"疫苗,死亡,新冠,中国,接种",
1598,JtlQFagek,兴若有你_花开半夏,女,其他,920,150438,兴若有你_花开半夏:#新冠疫苗全球竞速##沃森生物高管称老百姓要信任国产疫苗#11月6日，云南沃森生物副董事长黄镇在中国大健康大文旅高峰发展论坛上称，我们中国的老百姓一定要信任中国疫苗，国产疫苗。疫苗这个行业一定最后跟国家的生物安全、国家安全息息相关。 老板联播的微博视频 ,无,2020/11/11 6:00,夏夏坨Android,1,0,0,无,"疫苗,中国,生物,国产,老百姓",
1599,JtlUDfAoU,体育分析解说员龙哥,男,上海,764,1017938,体育分析解说员龙哥:#新冠疫苗全球竞速#11月6日，云南沃森生物副董事长黄镇在中国大健康大文旅高峰发展论坛上称，中国的老百姓认为国外的疫苗强于国内的疫苗是比较偏颇。山东疫苗事件、长生疫苗事件以后，中国疫苗产业大浪淘沙，留下来的中国疫苗企在世界上也是可以跟国外企业同台竞争，同台抗衡。我们中国的老百姓一定要信任中国疫苗，国产疫苗。疫苗这个行业一定最后跟国家的生物安全、国家安全息息相关。他表示，当中国真正需要一支疫苗的时候，国外这些企业是不可能给中国一支疫苗的 原图 ,无,2020/11/11 6:10,华为畅享9S超广角三摄,3,0,5,无,"疫苗,中国,事件,同台,生物",
1600,JtlWQkWn1,周蓬安,男,安徽,583,1341997,周蓬安:【称存在不良反应巴西暂停中国新冠疫苗试验 中方回应】巴西圣保罗州长前脚刚参观完与中国疫苗合作的工厂，并宣布首批中国新冠疫苗将于11月20日运抵该州，后脚巴西政府就暂停了中国疫苗的临床试验，宣称存在“严重不良反应”。微评：这不是胡扯吗？巴西参与实验的人数应该不多吧？几天前，国药集团董事长刘敬桢宣布“目前已有数十万人紧急接种国药集团旗下两款新冠灭活疫苗，没有一例严重不良反应，接种后离境人数达5.6万人，目前无一感染”。查了一下，国药与科兴不是同一回事。那么，建议巴西改用中国国药生产的疫苗。 ,无,2020/11/11 6:15,微博视频,56,5,16,无,"中国,疫苗,巴西,国药,宣布",
1601,JtmfBa1S6,周蓬安,男,安徽,583,1341988,周蓬安:#传染病防治# 【鲸视频：最新消息！#陈薇团队为新冠康复者研制新药#】除了新冠疫苗，陈薇院士还率领团队研发新药，加紧研制针对特异性治疗新冠病毒感染的单抗药物，以及改善新冠肺炎康复者肺纤维化程度的生物新药，争取尽快进入临床试验。期待！加油！ 微评：希望中国在新冠疫苗研制、针对特异性治疗新冠病毒感染的单抗药物研制方面，能一直走在世界的前列，为全球抗击新冠病毒贡献“大国担当”。预祝成功！ ,无,2020/11/11 7:02,军事 · 视频社区,3,0,5,无,"新冠,研制,新药,单抗,治疗",
1602,JtmnNlnRz,港股通AiH,男,香港,962,1837728,"港股通AiH:【新旧经济股天与地 阿里美泻8% 滙控英闯$39】新冠肺炎疫苗有进展，市场随即涌入旧经济股炒作要一段时间才来的环球经济复甦，「三桶油」及滙丰控股(00005)等金融股支撑恒生指数周二再创4个月高位，可是新经济股顿时集体捱沽，拖累恒生科技指数暴泻5.15%，创该指数7月面世以来最大单日跌幅，并且失守8,000点大关。●4大网企市值单日失8905亿疫苗突破的消息导致一众「宅经济」及「遥距工作」概念股霎时被打入冷宫，纽约上市的Netflix和Zoom周一率先暴跌，中资科技股周二亦难逃被洗仓，其中合称「ATMJ」、市值冠绝港股的4大网企阿里巴巴(09988)、腾讯(00700)、美团(03690)和京东集团(09618)股价泻介乎4.42至10.5%，市值合计蒸发逾8,905亿元。「北水」淨卖出美团近17亿元。阿里美国股价周二早段曾泻8.71%，低见265.23美元，折合较香港收市价低6.65%；腾讯美国预託证券(ADR)早段一度重上600元关，惟之后倒跌，曾报572.98元，较港低22.02元。内地恐怕不会因疫情日后平息而停止网购和数码化，提供网上旅游相关产品预订服务的同程艺龙(00780)股价周二(10日)涨5.15%，故市场相信，科网股周二暴泻，另一原因是国家市场监督管理总局刊发《关于平台经济领域的反垄断指南(徵求意见稿)》(下称文件)并展开公众谘询，过程中的不确定性打击投资情绪。文件主要针对互联网平台的经营者及平台上的经营者，作出排除或限制竞争的协议、决定或其他合谋行为，可变利益实体(VIE)架构不能避过有关监管；同时列出多种「具有市场支配地位的平台经营者」之可能中招行为，包括无正当理由下要求交易相对人在竞争性平台间「二选一」，否则予以搜索降权和流量限制等惩罚性措施；运用大数据和算法实施差异性的交易价格或者其他交易条件。而何谓「具有市场支配地位」，文件列出的一堆指标乍看颇为主观，包括以交易金额、交易宗数等计的市场份额，以及控制上下游市场、妨碍他人进入市场的能力。光银国际董事总经理兼研究部主管林樵基认为，国家维护市场公平竞争和消费者权益本身无可厚非，毕竟科网平台的服务深入渗透民众日常生活，文件是要建立一套制度，防止强迫消费者和交易对手的行为，但科网龙头之业务和份额应该不会因此受到重创，事关网企当前的市场格局和准入门槛乃他们投资提升服务后逐渐形成。不过，即使网企前景仍广阔，他暂时只看好腾讯，指京东和美团升势过急却盈利较薄，阿里则受蚂蚁集团煞停上市及估值问题困扰，「就算美团染蓝我都有戒心」。交银国际董事总经理洪灏指，文件对网企的实际衝击仍有待观察，惟已反映内地对科企监管的态度大变，而且网企估值之前因为旧经济股表现低残而升得太贵，现象也维持了长时间。疫苗研发日后再有进展，旧经济股会续跑赢，资金转仓不会一下子就停，反观科网股缺乏新的催化剂，暂时不必急于捞底。●银行股舞起 三桶油炒上市场憧憬经济复甦在望，于大市权重甚高却表现一直低残的「百业之母」银行股，纷纷吐气扬眉，滙丰控股涨8.18%，以全日高位37.7元收市，渣打集团(02888)更飙10.53%，恒生银行(00011)涨4.27%。友邦保险(01299)亦涨5.71%，跟滙控合力托起恒生指数309点。滙控伦敦股价一度折合高见38.75港元，之后曾与渣打一同回软，尾市折合分别较香港收市价升1.23%及升2.61%。港股美国预託证券(ADR)周二早段个别发展，滙控报38.07元，较香港收市价高0.37元；香港交易所(00388)报398.5元，较港高17.9元，意味破顶；中银香港(02388)报23.36元，较港低0.79元。若按比例计，相当于恒指升77点。疫情一旦平息亦意味线下经济活动复甦，出行需求可望改善，被合称为「三桶油」的中国海洋石油(00883)、中国石油化工(00386)及中国石油(00857)分别飙13.96%、9.91%及6.44%，中海油为表现最佳恒指及国企指数成分股。地产及收租股亦告「落镬」，领展房产基金(00823)、希慎兴业(00014)及新鸿基地产(00016)涨介乎4.84至7.06%。与此同时，据本报获得的独家消息，港府将撤销工商舖的辣招税徵费，即买方毋须支付双倍税率，美联工商舖(00459)一度狂飙逾28%，收市仍升16.67%，报0.112元，其母企美联集团(01200)涨4.35%。旧经济股纷纷飞升下，恒指甫开市即涨457点，报26,474点，可是由于权重不轻的新经济股集体捱沽，这已是全日高位，涨幅下午一度缩窄至仅25点，险失守26,000点，幸得滙控力托，收市升285点，收报26,301点，连升4日。国企指数亦因科技股暴泻，收市倒跌46点，收报10,586点，6连升告终。港股主板成交额升至2,338亿元，创4个月新高，进一步印证资金大举转仓，沽空比率11.6%。中薇证券研究部董事黄伟豪认为，今次资金只是短暂离开新经济股、转炒旧经济股，炒作可能会维持数日，但要新经济股持续向下调整的机会不高，毕竟距离疫苗真正面世和广泛使用、疫情受控、继而令全球经济回复正常，这过程至少还有半年的时间差。滙控股价升至37元水平已差不多，因其基本因素与银行业经营环境尚未有大改变，由9月的低位27.5元反弹至今已有点夸张，挟淡仓相信差不多完成，恐怕未能继续大升。他续指，恒指近期走势偏强，暂时留意7月高位26,782点阻力，若成功突破可望「行多一浸」，乐观看28,000点，不过短期较大机会维持在26,000至26,782点之间上落。 [组图共4张] 原图 ",无,2020/11/11 7:22,微博 weibo.com,11,4,3,无,"经济,指数,进展,再创,面世",
1603,Jtmqhiui8,为有书香来,女,江苏,1279,875982,为有书香来:#外交部回应巴西暂停对中国疫苗的实验# 相关公司和部门已经澄清，巴西出现的这些事情，与中国的疫苗实验没有关系，应该是被关联了。巴西之所以如此宣布，主要还是他们内部政治斗争的结果，中国疫苗成了他们内部斗争的一个工具，躺枪罢了。还有就是背后有#新冠疫苗全球竞速# 的原因，竞争很激烈。 ,无,2020/11/11 7:28,HUAWEI Mate 20,7,1,2,无,"疫苗,中国,巴西,实验,斗争",
1604,Jtmx3ccO7,Ruptly国际新闻视频通讯社,女,其他,154,822656,Ruptly国际新闻视频通讯社:【#普京宣布俄罗斯即将注册第三种新冠疫苗# 】俄罗斯总统弗拉基米尔·普京周二在上海合作组织（SCO）在索契举行的在线会议上发表讲话说，第三种俄罗斯新冠疫苗即将注册。普京补充说，俄罗斯准备与其他国家合作开发疫苗，并表示同意中国所说，不应将这一过程“政治化”。 Ruptly国际新闻视频通讯社的微博视频 ,无,2020/11/11 7:45,微博 weibo.com,31,2,3,无,"俄罗斯,普京,疫苗,注册,视频",
1605,JtmzQmJa5,张胜军,男,甘肃,20000,609374,张胜军:#外交部回应巴西暂停对中国疫苗的实验#：有关事件同疫苗无关，因为美国瑞辉出疫苗了，#新冠疫苗全球竞速#，巴西这是急着给美国疫苗打广告，只是太坏，居然踩在中国肩膀上给老美呐喊，调查清楚好好收拾一下这个狗腿子…#雍容大度我心飞扬# 定西 张胜军的微博视频 显示地图 ,#雍容大度我心飞扬#,2020/11/11 7:52,曲屏双摄vivo Xplay6,17,9,5,无,"疫苗,我心,中国,巴西,调查",
1606,JtmCEppSs,新浪军事,男,北京,929,23744132,新浪军事:【普京宣布俄罗斯即将注册第三种新冠疫苗】俄罗斯总统弗拉基米尔·普京周二在上海合作组织（SCO）在索契举行的在线会议上发表讲话说，第三种俄罗斯新冠疫苗即将注册。普京补充说，俄罗斯准备与其他国家合作开发疫苗，并表示同意中国所说，不应将这一过程“政治化”。 #政坛资讯##俄罗斯战情# ,无,2020/11/11 7:58,微博发布平台专业版,38,5,5,无,"俄罗斯,普京,疫苗,注册,新冠",
1607,JtmLmxNKt,三秦都市报,男,陕西,775,1070634,三秦都市报:【最新消息！#陈薇团队为新冠康复者研制新药#】除了新冠疫苗，陈薇院士还率领团队研发新药，加紧研制针对特异性治疗新冠病毒感染的单抗药物，以及改善新冠肺炎康复者肺纤维化程度的生物新药，争取尽快进入临床试验。期待！加油！（央视军事）#外交部回应巴西暂停对中国疫苗的实验# ,无,2020/11/11 8:20,军事 · 视频社区,2,0,0,无,"新冠,新药,团队,研制,疫苗",
1608,JtmPhfpXT,网易财经,男,北京,981,3275026,网易财经:#辉瑞新冠疫苗#【辉瑞新冠疫苗声称保护效力90% 中国还要等多久？】北京时间2020年11月9日晚间，美国辉瑞和德国生物科技公司BioNTech宣布，联合研制的新冠候选疫苗BNT162b2，在III期临床试验研究的中期分析中，显示出超过90%的保护效率。辉瑞公司首席执行官Albert Bourla称，这项结果意味着，这款基于mRNA的疫苗可以帮助大多数人预防新冠肺炎。 原图 ,无,2020/11/11 8:30,微博 weibo.com,3,1,3,无,"新冠,疫苗,保护,分析,效力",
1609,JtmPFoLQj,证券之星官方微博,男,上海,518,903552,证券之星官方微博:【国泰君安：疫苗研发获重要进展 航空股估值修复开启（附股） 】国泰君安指出，新冠候选疫苗中期分析保护率超90%，全球疫情持续时间将可控。中国航司2022年盈利恢复的确定性提升。疫苗应用仍需时间，短期基本面预期仍应谨慎。我们10月报告提示航空股筹码分散，且市场预期已下修，股价下行风险相对有限，建议逆向布局航空反弹机会。当下，我们仍然建议积极把握航空股布局良机。我们对中国民航业前景乐观，优质时刻盈利能力长期上行，疫情并未改变中国上市航司长期价值。高保护率疫苗陆续上市，将催化市场对国际市场复苏预期与航司盈利恢复预期，进而催化航空股估值修复。维持中国国航A/H、吉祥航空、春秋航空、东航H、南航H“增持”评级。 ,无,2020/11/11 8:31,微博 weibo.com,2,0,0,无,"航空,预期,中国,疫苗,盈利",
1610,JtmQtl3Xl,倩男游魂,男,浙江,1119,433030,倩男游魂:巴西的这名中国新冠疫苗实验者是自杀，而并非死于疫苗 原图 ,无,2020/11/11 8:33,微博 weibo.com,20,0,2,无,"疫苗,中国,新冠,实验者,自杀",
1611,JtmUlz4W1,娱乐璞·景,女,上海,2882,1132804,娱乐璞·景:#外交部回应巴西暂停对中国疫苗的实验#巴西暂停对中国疫苗的实验，汪文斌：有关事件同疫苗无关……截至北京时间11月9日，全球新冠确诊病例累计超过5000万例，人类命运共同体，希望疫情早点结束！ 璞·景的微博视频 ,无,2020/11/11 8:42,陈文诸葛iPhone 11(红色),13,8,8,无,"疫苗,巴西,中国,希望,无关",
