

























数据,实测,相位,线极化,频率
移相器,基板,设计,研究,参数
搜捕,匹配,方法,应用,箔条
极化,测角,误差,模型,证明
极化,测量,瞬态,波形,信号
环境,显示,电磁,态势,脉冲























实现,诱导,向量,支持,激光
























缓释片,疗效,发生率,治疗,评价
评价,疗效,研究,结果,国产































气温,森林,城市,效应,最低气温








































边界,程序,粒子,情况,进行



















系统,性能,表达式,带宽,调制


杀菌,汁液,腌渍,风味,大蒜
问题,绿色,食品,发展,有机
活性,提取物,老叶,能力,还原

























实现,算法,功能,回波,资源




















































风速,风向,矢量,部件,传感器




发电,系统,交直流,混合,发电机
电流,控制,滤波,绕组,辅助
电机,故障,短路,转矩,输出
脉动,故障,转矩,电机,控制策略
脉动,故障,转矩,电机,控制策略













锅炉,分离器,外置式,循环,燃烧

突变体,斑马鱼,髓系,造血,筛选
造血,缺陷,突变体,红系,产生


造血,细胞,突变体,表达,染色











































































表达,组中,皮质,肿瘤,良性
表达,组中,皮质,肿瘤,治疗
恶性,表达,嗜铬细胞,良性,对照组
表达,皮质,组中,肿瘤,治疗



































群签密,签名,方案,计算,成员















































































































































治疗,病变,畸形,手术,分型



应力,距离,进行,椭圆,分量


转染,表达,分泌,细胞因子,分子


细胞,反应,免疫,树突,炎症




大鼠,细胞,卵巢癌,肿瘤,免疫治疗








































分化,品种,小麦,积温,累积
花丝,水势,吐丝,变化,下降
水平,氮肥,棉花,铃重,碳水化合物
春化,品种,壮苗,叶龄,分化
灌浆,品种,授粉,增加,体积




































部分,病菌,植物,枯萎,纹枯病
施肥,土壤,切花,养分,处理
提取物,真菌,病原,细菌,番茄
番茄,氮素,施肥,设施,传统
调控,氮素,土壤,措施,硝态













烧结,陶瓷,微波,温度,研究
陶瓷,烧结,微波,温度,烧成
流延,粘结剂,分散剂,浆料,采用







现象,相关,问句,匹配,对话

























































因素,分析,高血压,患者,评估




































































































低温,低氧,结合,检测,表达
复方,党参,高原,反应,症状
细胞,表达,低温,大鼠,暴露
















全身,复合,阻滞,手术,患者
























































交互,装配,方法,物体,操作






合金,喷射,反应,高温,强度



























































铁芯,变压器,温度,光纤,光栅
品质,成分,口感,应用,综合
压井,钻孔,井口,可控,装置
储存,离子,直线,控制器,溅射
硅橡胶,绝缘子,情况,部分,光栅

温度,电抗器,光栅,状态,空心
固化,包封,电抗器,应变,监测
矿山,技术,信息化,金属,论述
矿柱,回采,资源,矿石,方法
回收,技术,矿山,资源,探测
探测,矿山,技术,空区,采空区
回采,模型,冬瓜,顺序,块段



























信息,网格,服务,查询,系统









腹腔,冲洗,溶液,浓度,抑菌






挥发,施肥,增加,处理,峰值
细胞,西瓜,镰刀,毒素,叶片
农户,施用,氮肥,影响,是否
水稻,水分,旱稻,营养,胁迫
氮肥,养分,管理,减少,提高
小麦,产量,氮量,高于,籽粒
水稻,处理,铵态氮,硝化,净光合


系数,导热,融化,源区,黄河

降解,驯化,代谢,作为,基质
河流,研究,基流,具有,模型
蒸散,增加,运用,降水量,源区

植被,高原,覆盖,趋势,退化



变化,流量,径流,水文地质,特征

























反应,物种,表面,产物,催化
























脱硫,氧化,活性,载体,催化剂












细胞,蛋白,融合,腺病毒,表达







氧化硅,微球,结构,用量,分布
微球,聚合,存在,杂化,氧化硅
转化,所得,进入,预先,采用



电化学,结构,结果表明,电容,呈现






















联合,协同,药物,单胞菌,浓度
疗法,系统,治疗,首选,从业者
闭塞,患者,发作,检查,动脉


湖泊,重金属,污染,底泥,沉积物
土壤,动物,类型,溪源,类群
水稻,品种,污染,含量,土壤
研究,反应,浓度,进行,利用

细菌,富集,进行,特异性,氧化
细菌,土壤,土壤环境,分析,表层
秸秆,腐解,试验,代谢,碳源














断裂,新民,活动,变形,酒西
滑坡,地质灾害,分布,地质,动力
黄土,滑坡,稳定性,分析方法,滑体
地质灾害,进行,危险区,分布,评价
地震,地表,断裂,破裂,北川
环境,入侵,拟建,工程,风暴潮






过程,天气,地质灾害,冰冻,灾害
崩塌,危险性,因素,评价,进行
教育,创新,模式,学校,特色
滑坡,涌浪,防灾,条块,入江




过程,影响,电子,展宽,结果

缺陷,样品,正电子,湮没,测量
脉冲,量子,系统,强调,实验


服务,系统,动态,物理,方法






















能力,企业,港口,突发事件,比例












功能,菌剂,生物,系统,强化
污泥,厌氧,颗粒,废水,实验

低温,蛋白质,应用,环境,增加
有机,菌株,强化,工业废水,观察


硝化,磷菌,效果,进水,菌剂






















水生,蔬菜,产业,存在,问题











节点,破坏,方向,加载,方桩
土石,混合体,压缩,工程,进行
评估,结构,腐蚀,岩土,程度
模型,土体,应变,进行,实验

岩体,形成,测定,组成,主量




















介质,表面,研究,实现,领域















根毛,根系,细胞,导管,直径
滴灌,日光温室,黄瓜,生产,水分
指标,黄瓜,形态,光合,灌水

阻抗,电极,电化学,电容,电阻
电化学,薄膜,电极,研究,循环














引力波,探测器,激光,探测,性能

系数,风压,屋盖,研究,屋面
建筑,部分,研究,影响,介绍
风压,系数,研究,气流,表面
响应,结构,分析,计算,风场
试验,风洞,研究,实验室,数据
优化,结构,荷载,结果,整体
脉动,风速,台风,湍流,数据
风压,建筑物,系数,脉动,分布















发光,器件,厚度,结果,扩散








稻瘟病,鉴定,品种,感病,发病
山区,北疆,天山,变化,线性








































乳化剂,阿霉素,微球,达到,聚乳酸




风速,存在,塔克拉玛干沙漠,差异,区域
研究,雅丹,形成,地貌,定义











环境,水质,张家口市,计算,分析






黄河,兰州,肌体,污染,残留
胸腺素,大鲵,基因,表达,序列
生长,体长,体重,稻田,个体
大鲵,螺旋,分析表明,基因,序列
皮肤,仔鸡,饲料,色泽,影响
部位,皮肤,仔鸡,母肉,黄色素
皮肤,胸部,部位,黄色素,沉积
食用,花卉,资源,研究,发现
肌肉,品质,饲料,补饲,含量
匙吻鲟,价值,经济,鸭嘴,养殖
西瓜,植株,枯萎病,生物量,施用
西瓜,施用,根系,数量,土壤
水稻,化肥,配施,堆肥,有机
西瓜,间作,根际,单作,连作
香蕉,枯萎病,鉴定,抑菌,拮抗
纤维素,菌株,测定,特征,透明
烤烟,无机,堆肥,处理,菜粕
香蕉,植株,处理,数量,施用


处理,无机,堆肥,产量,复混肥
茶园,大豆,茶叶,茶树,生长


表达,免疫,水平,保护,载体
烟草,基因型,构型,供试,根系




























位点,染色体,肾炎,尿蛋白,小鼠
基因,小鼠,回交,水平,定位
基因,多态性,血尿,人群,蛋白尿
多态性,基因,系统性,红斑狼疮,分布
















精神障碍,西藏,调查,患病率,手册
缓蚀,作用,增大,电化学,加入
小鼠,脑区,表达,病变,转基因
表达,研究,皮层,伴随,转录
实验,距离,迷宫,百分比,时间
淋巴细胞,细胞,转染,表达,凋亡













作用,熔体,平顶山,岩体,流体
岩浆,碱长,表明,演化,岩体
岩体,岩浆,新生,岩石,黄山
硫化物,矿石,铁帽,氧化,发生
堇青,特征,矿体,层状,变化
硫化物,矿石,研究,矿床,形成



康定,治疗,患者,联合,疼痛








海槽,沉积,边界,发育,代表
矿物,沉积,剖面,新统,特征
应力,构造,分量,盆地,断裂带
断裂,资料,影像,结果,解译
变形,分布,发育,系膏,盐层
机器人,信号,作为,控制,系统
巡线,采用,系统,构成,实现
电感式,系统,传感器,设计,带材
算法,吸振,浮筏,控制,实验





















技术,限额,灌溉,研究,水资源
示范,推广,利用,培训,加强
蔓延,模型,模拟,分析,趋势
治理,提高,利用,经济,发展
技术,利用,彭阳县,集雨,模式
经济,推广,利用,雨水,区域
生态,修复,实施,完善,注重
技术,措施,人工,石质,起来
利用,模式,集雨,彭阳县,宁夏
集雨节,建设,工程,技术,运行
工程,利用,集雨,模式,技术



积累,物质,磷素,为主,促进
旧膜,方式,物质,处理,利用
产量,油用,亚麻,施肥,籽粒
能值,分析,方法,量化,研究
物质,积累,处理,生产,施用
淀粉,黏度,参数,氮量,小麦
杂草,生态,田间,种类,优势
旧膜,覆盖,方式,农田,播种

分离,化合物,类化合物,鉴定,蒙古





糖苷,阳离子,烷基,应用,产品
葡萄糖,烷基,抑制,合成,阳离子
烷基,糖苷,水解,条件,阳离子
行业,合成,应用,糖苷,烷基
钻井液,性能,糖苷,烷基,应用
具有,葡萄糖,合成,提高,加快
烷基,糖苷,阳离子,季铵,合成
实验,学生,能力,培养,提高

岩心,砂岩,进行,实验,流动

补偿,设计,时延,网络,系统

成藏,水合物,天然气,机理,响应




热液,矿床,沉积,岩浆,同位素

地壳,物质,富集,闪长岩,安徽




地理,中国,课程,高校,实现
图集,设计,制图,编制,介绍
风险,生态,评价,区域,进行
氟化物,水质评价,结果,进行,影响
教学,地理,区域,团队,建设
建设,教学,团队,研究会,教材


































解冻,鱼浆,进行,射频,方式
凝胶,添加,样品,鱼糜,泡椒
自由基,微波,体系,复配,水分
冻藏,结构,鲢鱼,含量,变化
肠道,模型,屏障,作用,免疫
广义,频数,事故,估计,交通事故
超车,事件,模型,中国,自行车






事故,风险,模型,数据,预测

开关,损耗,结构,理论,计算
系统,技术,视频,监控,联动
光纤,模型,误差,温度,方法








改性,止血,材料,纤维素,氧化
分析,打印,技术,材料,涂层






接头,陶瓷,连接,氮化硅,压力
供给,解决,道路,缓解,上海
中心,城市,缺乏,发展,上海
创意,产业,发展,思路,问题
城市,中心,经济,规模,空间
城市,地理学,中国,研究,发展
公众,参与,城市规划,保障,社区
经济,分散,研究,增长,人口
设施,满意度,新城,城市,意在
新城,发展,建设,中心,能够
区域,集聚,尺度,城市,经济
城市,结构,中心,研究,提供

出生,因素,进行,影响,发生


自主,能力,创新能力,测评,指标
研究,水平,地区,全国,科学技术
创新,产品,工艺,系统,动力学
创新,协同,工艺,产品,发展
问题,存在,企业,重视,改进
脆弱性,发展,区域系统,测评,演进
机制,创新,工艺,产品,企业
效率,电子信息,制造业,分析,存在
演化,理论,高新技术,产业,集群
技术,经纪人,发展,城市,状况
融资,问题,并购,结构,筹划















粉末,带材,采用,制备,前驱
基带,织构,工艺,制作,样品

粉末,熔化,形成,粒子,处理工艺

样品,杂质,分析,发现,带材
















小麦,转运,覆膜,籽粒,茎鞘
侵蚀,坡面,细沟,产沙量,区域













知识,配置,产品,管理,技术

服务,模型,对象,制造,建模
服务,制造业,信息化,服务化,技术
服务,制造,融合,技术,面向
药物,质谱,氯霉素,测定,残留

系统,综合,补偿,电能,质量
谐波,电压,装置,优化,目标
节能,高压,问题,提出,存在
方法,控制,谐波,提高,质量
阻抗,控制,直流,系统,模型
控制,阻抗,分析,电网,电压


工艺,制备,过滤,反应,研究



技术,蜕变,测试,研究,软件
算法,策略,扩充,水平,参数
路径,适应,覆盖,度量,指定

测试用例,方法,生成,补充,设定
组合,生成,测试用例,进行,方法


测试用例,问题,集约,测试,效率

治疗,乳腺癌,超声,化疗,变化





生产,过程,细胞,注射剂,荧光







基因,水稻,表达,诱导,互作
菌根,根系,球囊,含量,生长素


















阻抗,综合,线路,故障,零序
电流,支路,保护,故障,直流
故障,数据,方法,结果,线路










损伤,免疫性,小鼠,多糖,组织
部位,复制,表达,背叶,细胞
大鼠,浓度,血清,表达,造模

纤维化,大鼠,转氨酶,变化,血液
















囊肿,半月板,关节镜,关节,治疗














浓度,智商,差异,患者,进行









表达,蛋白,浓度,基因,检测
细胞,凋亡,联合,应用,表达




























































效率,应用,提高,竞争性,腐殖质
生长,含量,胁迫,表现,低浓度










水合物,开采,热力,温度,气体



促晶,气体,水合物,特性,采用


相变,材料,溶液,适合,得到




系统,分析,钻井工程,设计,软件
杆菌,美罗培南,抗菌,西林,巴坦
软件,钻井,研究,模型,具有


旋转,海水,淡化,电磁,压强

















弯曲,结肠,人群,广西,检出
表达,空肠,蛋白,产物,弯曲


















































介孔,温度,合成,形貌,分子筛

实验,改革,实验教学,教学内容,问题
企业,数据,职工,工资,规模

失业率,教育,群组,程度,市场

家庭,组群,储蓄,中国,储蓄率


家庭,消费,房价,价值,购房
















































材料,有机,电致发光,领域,结构




















生理,雄鱼,生长,比例,家系
















































研究,高浓度,表达,二倍体,基因









































结构,衍射,X射线,闪锌矿,高压

















温度,燃烧,特性,粒径,萃取




















精馏,试验,氨水,研究,系统







催化剂,活性,高温,产量,进行











































华北,岩浆,边缘,碰撞,构造

华北,剥露,隆起,内蒙古,褶断带




自由基,细胞,能力,鉴定,清除












































血管,内皮,损伤,移植,实验



发电机,接地,故障,毁损,中性点
表达,肿瘤,透明,临床,细胞
电流,互感器,保护,限值,分析
保护,方案,配置,方式,中性点



















放电,性能,材料,掺杂,电池





















































































































进行,设施,枢纽,方案,能力
收费站,收费,能力,车道,混合
速度,运行,曲线,预测,一致性
















































情绪,智力,分析,大学生,成熟度
量表,结构,符合,因素,高于






















































土地利用,大庆市,典型,变化,分析
草地,影响,居民,道路,松嫩
估算,草地,精度,模型,数据
侵蚀,流域,模数,景观,指数
保护区,资源,退化,建立,作用
估算,数据,参数,方面,分析
服务,价值,农田,流域,变化
退耕,空间,缓冲区,研究,数据
全氮,土壤,含量,时期,空间
草地,松嫩平原,吉林省,趋势,季节
植被,变化,东北地区,影响,分析
直肠癌,外周血,表达,分期,患者








样品,进行,衬底,研究,制备





强度,空间,准则,材料,物理














































































































































光谱,数据,分类,影像,中国
目标,数据,变化,信号,精度
质粒,感染,生茸,骨膜,基因
进行,表达,发生,分子,细胞







试验,硝酸,足癣,治疗,股癣
荧光,细胞,酵母,青霉,计数
培养,青霉,真菌,阳性率,进行





































































































棉苗,胁迫,叶片,处理,外源
物质,河北,积累,研究,植株
碱地,重度,覆膜,微沟,移栽
棉花,幼苗,胁迫,氮素,外源
主茎,功能叶,含量,营养,棉花

























齿槽,滚刀,齿轮,切屑,刀齿









进行,形貌,温度,时间,保温
超声波,衰减系数,方法,晶粒,试样








矿物,附着,表面,风化,局部





























图像,算法,特性,单幅,序列


掌纹,纹线,算法,水平,梯度
































产流,壤中流,坡度,坡地,径流
氮素,迁移,流域,污染,流失
沉积物,释放,氧化,条件,过程

去除,浊度,水体,发现,元素
































































输尿管,腹腔镜,例行,静脉,复位

振动,引起,信号,列车,地面





















磨损,涂膜,添加,表面,试样














































































物质,回收,风味,生姜,酒精
能力,分析,龙眼,结果,极性

原料,用量,反应,试验,合成

多糖,大蒜,伸缩,振动,琥珀酸
反应,温度,反应时间,条件,研究
测定,方法,曲线,梯度,乙腈
杆菌,多糖,大蒜,培养基,表明

































位错,缺陷,空位,运动,模型
位错,空位,缺陷,运动,滑移





































































力学,中国,大会,学会,承办








































认知,图片,患者,功能,程度



















































抗菌,青霉素,葡萄球菌,细菌,西林




胁迫,产生,植物,生物,发育







沙漠化,数量,研究,修复,趋势
蒸腾速率,蒸腾,气孔,植物,水平
火烧,影响,层片,组成,荒漠化
草地,围封,干旱区,组成,群落
红砂,组织,胁迫,植物,增加

灌丛,土壤,分布,草场,空间
短柄,胁迫,转运,浓度,相关












提取,破乳,脂肪酸,超声波,采用
等位基因,分布,进行,分型,人群















































水循环,陆地,过程,变化,模拟
陶瓷,技术,出口,精品,鉴别
体积,方法,计算,有限元,控制






























































湖泊,同位素,水温,定量,利用
湖泊,盐度,形虫,壳体,定量


反离子,性能,表征,研究,聚合
共聚物,光学,力学性能,丙交酯,结晶
结晶,增容,加入,力学性能,性能





声学,技术,学科,音频,研究










































关联,需要,数据,互联,框架
开放,获取,重视,建设,出版
发布,数据,关联,实体,研究
机构,知识库,建设,平台,数字
经费,可能,图书馆,保障机制,介绍
技术,功能块,保存,数字,体系
开源,软件,数字,图书馆,系统
资源,供应,管理,建设,需求
开放,获取,教育,阶段,推广
研究,领域,科学,揭示,思考问题

磨细,水泥,材料,矿渣,研究





年龄,斑岩,雷门沟,获得,岩体
辉石,岩浆,橄榄岩,橄榄石,特征











神经,治疗,束间,患者,重度


盆地,阶段,变形,构造,伸展

火山岩,城组,松辽盆地,营城,发育










笔画,构成,实验,过程,书写


命名,信号,具有,中央,条件




晶体,分离,物质,抗性,水稻
抗性,个体,频率,种群,变化
种群,水稻,因子,转移,飞虱






刚性,破坏,上限,建立,土体
渗流,方法,岩体,求解,网格

边界,变化,颅骨,有限元,磁场
探究,教学,开展,培养,控制




设置,占空比,方式,电压,硬件
磁性,行波,流体,磁场,作用
位置,偏差,传感器,零位,方法








市场,限制,政策,波动性,实证
收购,公司,并购,股东,收益
数据,收益率,特征,表明,研究
控制权,毁损,价值,改善,收购
保护,投资者,控制权,转移,制度
控制权,控制,定价,影响,政府
收购,公司,并购,支付,财富
公司,交易成本,显性,并购,隐性
美国,金融,分析,提出,体制

市场,证券,价值,假设,依赖



















装备,规划,学科,发展,动力学





查询,用户,系统,统一,图书


系统,接口,设计,虚拟仪器,机界面
事件,检测,向量,支持,算法
图像,道路,视觉,车辆,边缘


阴影,检测,运动,物体,进行
保留,直肠癌,患者,性功能,障碍

细胞,表达,肝细胞,诱导,肝样
肠梗阻,治疗,葡胺,泛影,手术
大鼠,表达,缺损,评分,缺血
手术,时间,作为,方式,疗效
动脉,切除,肝门,胆管癌,随访




细胞,化疗,低氧,药物,肝癌
活化,静止,防己,作用,表达
大鼠,纤维化,干细胞,组织,程度
大鼠,分离,分泌,对照组,采用
水平,纤维化,内源性,大鼠,组织



患者,睡眠,质量,信度,评价
抗体,感染,阳性率,检测,差异
冠心病,基因,高血压,因素,抗凝血酶
试验,昆明地区,螺杆菌,溃疡,患者
方案,分析,症状,差异,根除
食管癌,死亡,原因,分析,构成







地震,参数,区划图,震动,构造
破裂,地表,地震,构造,龙门山
























































补光,作物,系统,具有,生长


水解,橄榄,工艺,考察,纯度
































研究,荧光,出现,猝灭,引起
风电场,功率,控制,波动,输出
放电,陶瓷,电压,增加,条件
转换,声音,线性,加权,特性

色彩,校正,方法,屏幕,利用
结构,分析,框架结构,进行,降低
换流,可靠性,指标,系统,建立
器件,损耗,功率,运行,工况
器件,压强,耦合,压接式,模型
电容器,组件,可靠性,换流,影响








红麻,表达,蛋白质,能量,耐旱性
作用,肝癌,细胞,生长,灌胃

























心肌梗死,大鼠,结扎,帐篷,面积
治疗,心理,人际,干预,冠心病

支架,事件,冠心病,治疗,血栓

心肌,血清,心脏,损伤,开始






检测,方法,进行,结果,特异性
病毒,检测,方法,致病性,建立
结构,处理,静压,大豆,变性
酰化,蛋白,增加,基本,离子
蛋白酶,中性,酸性,条件,碱性
吡喃糖,葡萄,特产,纯化,植物




熟料,尾矿,粘土,生产,试验
烟气,燃煤,态汞,含量,研究
烟气,锅炉,海水,排放,静电
浸出,硫酸,反应,提高,浓度
挤压,综合征,治疗,筋膜,衰竭
蛋白酶,蛋白,采用,实体,实验
股骨头,荧光,时间,标记,组织
患者,地震,伤病员,综合征,临床
地块,速度,特征,大陆,中国
剪切,壳幔,岩石圈,韧性,构造
岩石圈,结构,构造,东亚,大陆
面波,欧亚大陆,西太平洋,事件,西太平洋地区
岩石圈,速度,板块,软流圈,欧亚大陆
形变,地壳,地幔,地区,地块








研究,部位,人员,研究院,模式




加标,基体,回收,样品,流动
鼠李糖,土壤,重金属,复合,污染
光谱,粗脂肪,含量,反射率,进行
污染,措施,来源,千岛湖,治理
进行,水性,涂料,样品,色谱分析
消解,方法,塑料,产品,电气
纺织品,芳香,分离,完善,液相
行政,分析,管理体制,环境,生物
风险,水库,水体,进行,评价


复合膜,创面,愈合,魔芋,甘露
共聚物,叶酸,苹果酸,靶向,药物
活动,疾病,因子,炎症,关节
前药,药物,喜树碱,方法,细胞










评估,故障,系统,发电,计划
评估,凹陷,阻抗,影响,变压器
评估,区间,电压,凹陷,系统
敏感度,电压,负荷,方法,进行
方法,评估,电压,原理,提出



风电场,控制,频率,影响,模型


模型,蛋白,冠心病,差异,组织



发酵,聚赖氨酸,白色,优化,研究

面团,内酯,配料,性质,淀粉
葡萄糖,影响,两歧,转运,研究
小鼠,糖尿病,乳酸杆菌,鼠李糖,血糖
保护剂,活力,激酶,菌体,蛋白
能力,菌株,杆菌,植物,重组

斑块,居民,地区,面积,沈阳
系统,误差,校正,采集,交替






















芍药,分离,进行,方法,化合物




虚拟社区,特征,预测,进行,网络
知识,生产,系统,大众,追求
分布,行为,泊松,人类,发生
网络,电信服务,分析,产品,结构
大众,选择,生产,网络,群体
结构,社群,竞争,关系,研究
效用,得分,引入,效益,边际
水泵,风机,投资,设备,调速
集群,物流,产业,品牌,竞争力


多糖,含量,方法,结果,质量
方法,纺织品,萃取,检测,结果表明
质量,方法,原子,测定,药材
药材,色谱,核苷,含量,结果
氧化,工艺,采用,双氧水,混合

色谱,液相,洗脱,梯度,波长
催化剂,反应,实验,稳定性,采用
萃取,酚类,物质,包装材料,采用











地区,旱涝,长江流域,发生,降水量

高度,方法,应用,资料,统计


气候,项目,方面,研究,全球


啤酒大麦,籽粒,产量,含量,氮量
籽粒,氮素,产量,群体,稻茬

过氧化氢,活性,黑土,含量,试验
土壤,固氮,条件,研究,影响
黑土,代谢,施肥,变化,群落
空间,模型,黑龙江,黑土,典型
施肥,水热,条件,群落,变化
土壤,黑龙江省,养分,利用,系统
变化,措施,通量,耕层,免耕
措施,恢复,植被,径流,提供

流动,收入,程度,农村,分析

