















NMDAR,Hal,Cloz,SPD,NR2B,concentration,inhibited,receptor,effects,subunit






导线,起晕,覆冰,电压,混合,分裂,带电,覆冰后,畸变,输电
导线,电晕,电压,起晕,模型,特高压,向量,预测,放电,线路
覆冰,冰厚,线路,导线,设计,输电,系数,订正,现场,实测
闪络,覆冰,绝缘子,污秽,伞型,气压,梯度,复合,试验,样本数
绝缘子,支柱,闪络,覆冰,增爬型,群后,变电站,加装,状态,电压
绝缘子,闪络,电弧,覆冰,直流,低气压,间隙,飘弧,空气,模型
绝缘子,复合,覆冰,闪型,50%,电压,桥接,闪络,220kV,防冰
闪络,绝缘子,气溶胶,粒径,电压,盐密,环境,交流,发生器,成分
覆冰,绝缘子,闪络,污秽,梯度,电导率,电弧,特性,冰水,输电
闪络,绝缘子,覆冰,试验,电压,50%,耐受,电气,覆冰后,160
雾凇,导线,尖端,表面,电场,树枝,场强,覆冰后,覆冰,频发












整理,居民点,农村,如皋市,hm2,优先,潜力,各镇,现实,紧迫性
耕地,质量,预警系统,数据库,预警,金坛市,为例,功能,技术,提供
蔓延,城市,分维,分形,马鞍山市,维度,研究,空间,稳定性,差异
城市,集约,土地,利用,江苏省,差异,空间,发展,苏南地区,13
地价,动态,住宅,土地,南京市,城市,及时,主城区,准确,研究







MBR,去除率,COD,色度,管式,通量,印染,去除,浓度,MLSS




IRT,测量学,分析,文献,模型,心理,Citespace,1998,2011,Web
学生,移民,学业,学校,均值,入学,乡城,显著,成就,越低
学生,城乡,困难,学习,科学,学业,检出率,性别,而异,因素
科学,困难,学习,学生,男生,女生,成绩,测试数据,特点,维度
教师,课程,实施,年级,教学,我国,课程标准,美国,跨文化,数学教师
CAT,标定,在线,CD,新题,研究,增补,认知,题目,诊断
题库,设计,测验,优化,研究,组卷,CAT,计算机化,基本思路,具体步骤
维度,Rasch,信度,模型,四维,十五,测验,分数,多维度,估计

















珊瑚礁,生态,足迹,利用,海洋,三亚,资源,地向,为例,人类

条带,密度,高低,骨骼,18O,mm,宽约,轴上,珊瑚,生长
Cu2,污染,珊瑚,重金属,石珊瑚,珊瑚礁,浓度,影响,活动,研究

珊瑚,石珊瑚,断面,多样性,人类,活动,明显,珊瑚礁,种类,礁坡
Ba,corals,low,upwelling,environmental,signals,anomalous,winter,ratio,proxy


表达,基因,蛋白,XIP,AG,植株,植物,胁迫,序列,Protein
基因,酵母,ORF,GmTIP1,pYES2,INVSc1,表达,胁迫,不同,蛋白





甘蓝,枯萎病,延庆,抗性,材料,菌株,小种,抗病,FGL,自交系
枯萎病,甘蓝,96,栽培,自交系,中甘,雄性不育,CMS96,100,312


活性炭,常春藤,绿萝,甲醛,净化,效果,室内空气,作用,去除率,以绿萝



二尖瓣,左室,肥厚,高血压,舒张,环左室,0.05,侧壁,对照组,位移
矮塔,塔高,斜拉桥,有限元,拉索,特性,荷载,变化,挠度,弯矩









抗原,肠腔,食物,微生物,肠病,inflammatory,bowel,disease,IBD,固有性
黏膜,IBD,炎症,组织,淋巴细胞,肠道,抗原,屏障,激活,细菌
黏膜,组织,炎症,细胞,肠病,纤维细胞,免疫,炎症性,上皮细胞,应答




电能,计量,成本,寿命,资产,周期,控制策略,闭环,系统控制,总成本
客户,需求,映射,改进,功能,信息,方法,产品,算例,应用性
质量,制造商,供应商,合同,供应链,决策,行动,设计,道德风险,取值
计量,电能,集约化,资产,三集,闭环,建设,电力公司,国家电网,精细化
VFP,VRP,单车,模型,问题,满载,优化,遗传算法,目标,物流配送
求解,策略,服从,需求,分区,随机,中位,分布,队列,装卸
协同,供应链,创新,产品,企业,客户,市场营销,生命周期,提出,产品设计
服务,制造,现代,制造商,面向,企业,典型,产学研,分析,服务商

渠道,线下,展厅,协调,供应链,零售商,效应,制造商,价格竞争,服务
补货,销售商,集中,分配,改良,成本,总成本,生产商,最小,分散








培养,3.0%,2008,2010,5.0%,4.8%,3.4%,北京协和医院,鉴定,念珠菌
头孢,抗菌,925,株菌,球菌,病原菌,葡萄球菌,药物,杆菌,金黄色




VIPR,单倍,位点,基因,多态性,巢性,18,周龄,调控,天数
田头,柱状,Agrocybe,aegerita,综述,驯化,开发利用,活性,生物学,旨在
















emission,luminogen,CZ2TPAN,typical,architecture,intramolecular,charge,transfer,aggregation,induced


















周时,对照组,足癣,试验,股癣,硝酸,乳膏,1%,异康唑,有效率
生物,研发,检疫,材料,检验,进境,模式,监管,张江高,科技园区
黑热病,陇南,病例,舟曲,10,防治,发病,学龄前,文县,武都






催化剂,收率,环己酮,用量,乙二醇,缩酮,磷钼杂,多酸铵,环己烷,水剂
催化剂,为亚,反应,加氢,羰基,甲基,催化,壳聚糖,席夫碱,性能




创新,体系结构,组织,结构,几点,国家,经费,本文,中美,演变
特化,转变,主体,1999,2006,投入,科技,企业,结构,沿海
创新能力,自主,沿海各省,沿海地区,我国,分析,差异,聚类分析,Theil,科技
高校,转化,科研,模式,主导,科技,发展,2008,2010,985
高校,校企,985,协调性,科技,类型,强度,科研活动,谱线,合作
人口老龄化,水平,空间,分布区,我国,差异,规律,1997,测度,采用
工业化,环境污染,EKC,环境治理,中国,治理,面板,模式,实证,非农产业
领域,技术,发展,美国,轨迹,处于,曲线拟合,1963,2008,成长期
高校,科技,资助,政府,支出,产出,专利,效应,企业,投入
竞争力,服务业,指标,多样性,优势,比较,其他,中国,1980,BRICs
技术创新,研发,主体,市场化,效率,企业,创新,地位,效率高,受限制






























废液,浸酸,鞣制,循环,节约,皮革,利用,进行,排放,转鼓
板材,陶瓷,白炽灯光,透射比,0.72%,3.6,mm,石板材,透光,石材
福利,动物,立法,贸易壁垒,出入境,中国,机制,WTO,控制点,推动
合成,超声,LiNiVO4,kJ,mol,功率,活化能,纳米,NH4VO3,LiCl
卫生陶瓷,成型,注模,凝胶,干燥,工艺,收缩,模型,含量,平均误差























OTFT,EF,device,increased,DS,thin,evaporation,threshold,voltage,50V



专利,专利申请,研发,导向,逻辑,知识型,转变,观向,申请专利,战略
价值链,标准,全球,主导,编码,企业,发展中国家,行动者,复杂,信息
战略,管理工具,新动向,管理,研究,演化,阐明,学派,科学技术,学者
网络服务,创新,网络,服务业,模式,服务提供商,使用者,驱动力,我国,创新力
清管,清管球,清管器,滞留,管球,内环,三通,情况,皮碗,泡沫
商品,苹果公司,服务,主导,逻辑,区分,基于,提供,交换价值,解决方案
企业,竞争力,样本,500,湖北,评价,因子分析,2007,2009,65
平台,产业,SCP,分析,特性,研究,当前,范式,传统,综述
绩效,国际化,企业,实证,研究,关系,81,负向,更加,线性关系
绩效,理论,战略,审计,管理,借鉴,记分卡,运用,价值链,现实性
分工,竞争力,价值链,产业,国际,边界,评价,企业,转变,国家



















pH,magnetic,films,bath,grain,size,ray,squareness,exchange,coupling




















细胞,PC12,H2O2,损伤,乙素,LDH,培养液,MDA,SOD,灯盏
实验,创新性,培养,教学质量,本科生,高素质,技术,明显提高,科学性,快捷
实验,红外光,液滴,装置,检测,准确,技术相结合,药理学,利用计算机,抗干扰能力




超声,双耳,传导,激励,助听,单耳,FDTD,经骨,单耳骨,效果

介入,虚拟,三维,导航,图像,内窥镜,诊断,方法,键盘,观察
传导,超声,激励,感知,助听,单耳骨,助听器,音频,时域,声场
BMD,AIB,超声,背散射,1087,骨质,相关性,评价,散射系数,松质骨
hm2,保水剂,利用效率,水分,60kg,处理,生育,灌浆,冬小麦,孕穗
腐植酸,保水,农林,多功能,生态,新型,治理,保水剂,研制开发,农林业


water,model,growth,resources,stress,Manas,River,decision,demand,availability
空间,格局,边缘,集聚,区域,扩散,演变,发展,核心,形态
生态,泰安市,旅游,足迹,赤字,盈余,可持续性,模型,2001,2007
景区,交通,游线,设计方案,容量,发展,两日游,模式,Park,Bus
入境,购物,丰度,游客,消费水平,口岸,资源,参照,水平,群体
生态旅游,游客,14,中外,海南,差异,概念模型,2009,31,建构























nm,DPVBi,器件,激子,峰值,发光,波长,40,tris,bis
NPB,Alq3,Rubrene,掺杂,器件,30nm,20nm,俘获,黄光,传输层
nm,DPVBi,Rubrene,cd,器件,白光,0.5,Alq,11,厚度
发射,器件,掺杂,白光,机电,激子,三重态,二聚体,单重态,100%
加固,方案,支撑,BRB,倒塌,阻尼器,优于,粘滞,效果,能力
碰撞,桥梁,防撞,非线性,装置,有限元,船桥,LS,DANA,实船
DPVB,厚度,空穴,iphenyl,NPB,阻挡,有机,器件,nm,vinyl
空穴,器件,Alq3,掺杂,发光,cd,亮度,传输,提高,掺杂剂

Holocene,climate,Sayram,Lake,cal,ka,BP,steppe,vegetation,dominated




























耐药,克雷伯,磷霉素,葡萄球菌,杆菌,ESBLs,西林,球菌,细菌,敏感

magnetic,CME,filament,transequatorial,event,AR,Bastille,Day,flare,scale

coronal,Fe,emission,lines,observed,polarization,XIII,10747,10830,intensity


100,50,变化趋势,明显,增加,气候,变暖,趋势,中国,地表
20,变暖,50,千年,资料,世纪,观测,代用,气候,中国

IPCC,50a,气候变化,变暖,报告,全球,评估,2007,100a,1906




silica,magnetic,composite,spheres,amino,silane,BSA,iron,method,characterized























油气,成藏,输导,富集,油气藏,控制,纵向,北断,砂体,潜山
构造,断裂,成藏,油气,湖盆,凹陷,歧口,勘探,演化,浅层

























































镇吐,从镇,早孕,药理作用,抗肿瘤,祛痰,半夏,心律失常,综述,溃疡
破碎机,故障率,物料,加工,减小,燃烧,木材,效率,送料,辊子
技职,学生,课程,培养,人才需求,设置,高等职业,教育,特点,指导意义
学生,项目,推行,学习动机,2001,学业成绩,教育,弱势群体,取得成功,星期六
土著,职业,学生,教育,极大,澳大利亚联邦政府,远程教学,状况,措施,土著人
潜水泵,废水池,污水排放,压缩空气,污水处理,现有,中仅,轴部,吹气,提水
边坡,治理,防护网,注浆,岩质,锚杆,结合,病害,实例,西藏
双馈,发电机,机组,风力,风电,设计,滑环,网型,电蚀,轴承
培养,高等职业,师资,台湾地区,台湾,进修,院校,实习,职前,探析
波速,模量,测距,行波,零模,单调,故障,传输,基于,单端
模块,无线通讯,考勤,ZigBee,CC2430,双向通信,卡防,人员,功能,采用









channels,method,Kv,classify,channel,based,sequence,protein,PreK,ClassK































AHF,PCI,患者,急性,临床,565,10,术后,发病率,功能











血清,胃经,胃黏膜,PLC,大鼠,PD153035,nkat,细胞,活性,显著性
0.05,温和,统计学,40min,治疗,疗效,20min,0.01,症状,差异
循证,针灸,脾胃,针灸学,医学,虚寒,治疗,EBM,证应,某一证型
钙泵,电针,活性,基因,表达,灌注,心肌,内关,0.01,神门
显著性,浅表性,治疗,胃炎,差异,疗效,0.05,胃肠,28,0.01

治疗,显著性,疗效,浅表性,胃炎,差异,PGE2,EGF,0.05,0.01
艾灸,娄上,今之欲,七年之病,三年之艾,药所,针所,所宜,凡病,针灸疗法






V13KL,COS,转染,细胞,胚胎,EGFP,小鼠,原核,注射,表达
太湖,体细胞,克隆技术,代孕,母猪,克隆,微卫星,研究,多态性,杜洛克
表达,诱导,蛋白,V13KL,pET30b,克隆,基因,肠激酶,酶切位点,VK13L
干细胞,诱导,遗传,生理,疾病相关,多能性,iPS,较为理想,遗传工程,组织细胞




































discharge,lamp,population,excited,intensity,fluorescence,spectral,lines,Rb,atoms




















HSA,change,acetylgliotoxin,binding,interaction,human,serum,albumin,studied,spectroscopic






总线,RS485,数控系统,接口,串口,板卡,控制面板,数据传输,高档,通信












降解,DPC,化学降解,3.5,95%,T0.95,半衰期,土壤,湿度,安全性
ethephon,thidiazuron,boll,quality,harvest,cotton,effects,double,cropping,system



知识,能力,要素,管理,获取,量表,工程项目,度量,构建,检验

隐性,知识,社会,网络分析,网络,企业,流转,研究,研究成果,网络理论





ESV,RN,ecosystem,road,networks,disturbance,decreased,ecosystems,study,land





联机,电镜,加速器,200,kV,LEADS,微结构,四极,离子束,离子
films,sputtering,power,oxide,100,MF,microhardness,target,substrate,DTS














bp,cM,Lr19,ACA,Thatcher,markers,resistance,4.1,AAC,mapping

breast,Report,38,female,patient,hospitalized,10th,December,2006,lump




















fiber,nm,660,fabrication,core,Nd3,doped,silicate,glass,photonic




















低碳,发展,经济,产业,点面结合,生物质,农林牧业,良好基础,地热能,建筑节能
产品开发,绩效,能力,技术,管理,作用,路径,吸收能力,正向,间接




length,Experimental,Station,roughness,Yucheng,Qianyanzhou,Changbai,Mountains,dynamic,aerodynamic
carbon,CBS,XSBN,season,ecosystem,forest,ecosystems,DHS,exchange,NEE

GR,rapamycin,CEM,C1,cells,Dex,cell,apoptosis,expression,inhibition



病态,IO,队列,流对,SD,虚拟,ifferentiated,Services,iffServ,Assured

红外,节点,传感器,无线,控制,网络,存储,智能,红外信号,WSN

























自然环境,地理学,应用,自然,研究,区域,发展,地理,病防治,1949






































defect,size,atrial,septal,RT3DE,dimensional,surgical,findings,study,3DE











喷雾,柴油机,燃油,关键问题,柴油,分析,研究,光学设备,卷吸,CFD


丝光,沸石,Ti,分子筛,苯乙烯,天然,氧化,多步,化法,N2

Sn,催化剂,MCM,41,SnO2,SiO2,甲酯,乳酸,介孔,脱附

















FGOALS,g2,Model,version,surface,temperature,precipitation,cycle,scheme,cloud
grassland,UG,DG,IG,total,treatment,soil,improved,10,20
黄酮,生长,细胞,愈伤,NAA,BA,积累,诱导,狼毒,MS


















































模块,分布式,架构,Web,爬虫,分析,数据,平台,存储,收集





germination,seed,OsPIP1,role,expression,aquaporins,rice,play,water,reduced




















climate,records,change,monsoon,region,core,Tianchi,Lake,Liupan,Mountain




径向,0.05,生长,云杉,气候因子,PDSI,林线,青海,树木,气温
地理学,研究,土壤生物,结皮,生物,植物,植被,干旱区,地理环境,研究成果
浮游动物,种类,样点,密度,小型,环境,群落,因子,趋向,相对
植物群落,清查,我国,技术规范,群落,调查,本文,方法,提供,野外工作


BSA,copper,ion,preparation,imprinted,hydrogel,article,strong,interaction,forming

mAb,rHuEPO,specific,produce,erythropoietin,detection,F3,ELISA,IgM,Objective









acid,UV,irradiation,kJ,tomato,fruit,increased,phenolic,activity,antioxidant





































field,crystal,OB,magnetic,probe,parameter,investigate,formation,optical,bistabifity
optical,dark,demonstrate,formation,ultraslow,solitons,level,scheme,asymmetricsemiconductor,double


















treatment,retinal,Qiming,Granule,circulation,control,blood,time,DR,FFA









HZSM,催化剂,助剂,活性,反应,催化活性,表征,物种,还原,生成












































active,GPx,oxidative,study,strategy,targeting,operating,selenium,sites,enzymes






































complexation,behavior,unsaturated,fatty,hydrocarbons,octadiyne,octadiene,perethylated,pillar,arene





阻燃剂,阻燃,燃烧,氧指数,环氧树脂,炭层,垂直,三聚氰胺,气相,性能
氧基,产物,环三磷腈,磷腈,后处理,色谱,苯酚,纯度,制备,方法







表情,识别,研究,研究进展,谎言,数据库,概述,泄露,面部,压抑




















科学,培养,人才,环境,创新型,工程,理工,科研,教学,融合
NH4,+-,Monod,模型,去除,参数,湿地,机制,拟合,人工






模块,直流,输电,系统,计算,设计,软件包,滤波器,绝缘,噪声


系统可靠性,直流,输电,该软件,可靠性,高压,软件,分析,800kV,算例
直流,输电,接线,特高压,多端,子系统,混合,评估,系统可靠性,系统
HVDC,备用,输电,最优,年值,费用,系统,设备,模型,经济性
攻击,耦合,系统,节点,调度,LR,协同,天然气,电力系统,策略
















































































泌乳,牛场,奶牛,指标,血液,0.01,季节,NEFA,显著,生化

饲喂,油菜籽,yak,CLA,牦牛,放牧,含量,C18,乳脂,脂肪酸






干酪,口味,风味,调查,消费者,650,再制,软质,需求,西式
西门,胎次,泌乳期,氨基酸,塔尔牛,常规,塔尔,奶牛,成分,不同








树脂,甲酯,桐酸,MEMAA,桐油,催化,收率,用量,酸酐,马来
群体,种子园,多态,多样性,位点,桂阳,第二代,引物,98.80%,城步
种源,位点,遗传,多态,聚类,两广,多样性,种子园,无性系,距离
猕猴桃,红阳,植株,扩增到,转化,反义,ACO,ACC,oxidase,gene
群体,马尾松,古蓬,浪水,种源,天然林,多态,位点,基因,多样性






堆肥,氮素,损失,畜禽,粪便,环境参数,调节,资源化,NH3,控温
TOC,有机肥,土壤,有机,配施,单施,施肥,化肥,无机,LFOC
籽粒,氮素,水稻,光谱,蛋白质,含量,叶片,PLSR,估测,建模





















基体,铁素体,马氏体,颗粒,原子,TEM,低合金钢,Fe,113,2113


































二氧化碳,环境友好,聚乙二醇,氧化,催化剂,超临界,碳酸,活化,自由基,反应










band,bands,anti,method,symmetry,acoustic,ABGs,wave,periodic,plate




Rwdd1,thymus,involution,protein,expression,thymic,epithelial,cells,affect,AR






















氧化镍,三钠,形貌,磷酸,晶体生长,氧化,沉淀法,测试表明,沉淀剂,方向









































ratio,mA,carbons,PF,precursor,prepared,performance,carbon,capacitance,50












HKT1,序列,同源性,GenBank,PCR,基因,片段,氨基酸,测序,幼根
AKT1,基因,碱茅,序列,小花,同源性,克隆,氨基酸,Puainellia,tenuiflora














12,遗传,人格,青少年,儿童,注意力,度为,智力,智商,儿童智力
肉瘤,软组织,指南,滑膜,纤维组织,中国抗癌协会,学组,NCCN,NICE,ESMO



































铁蛋白,磷脂,脂质体,DPPG,曼光谱,及其,Lactoferrcin,B4,14,Lactoferrampin


螯合,产物,蛋白酶解,Zn2,反应,pH,浓度,锌盐,温度,氯化锌

电信号,电路,滤除,放大器,生物,干扰,工频,放大,抑制,前置



















膨化,糙米,发芽,挤压,含量,黏度,特征值,淀粉,氨基酸,蛋白质
紫玉米,苹果汁,饮料,复合,配方,感官,模型,模糊数学,Box,Behnken
酪氨酸,黑木耳,纯化,最适,柱层析,分离,温度,米氏,Sephadex,100
黑色素,F1,F2,组分,kD,清除率,元素,自由基,柱层析,SephadexG
特性,螯合,黑色素,光吸收,天然,DNA,溶解性,抗辐射,免疫调节,抗衰老
花色,咖啡,儿茶酚,紫玉米,乙烯基,结果表明,葡萄糖,辅色,褪色,添加

















































































La,ZSM,zeolite,catalyst,analyses,content,PtSnNa,0.16%,contents,synthesized
CuO,species,reduction,CeO2,catalysts,catalytic,energy,Cu0,Cu2,pairs
Ga,HZSM,catalyst,Pd,promoted,prepared,impregnation,method,catalytic,activity

carbides,alloying,elements,thermodynamic,rate,multi,Ti,Nb,cast,microstructure





capacity,cathode,electrochemical,cycling,method,Li1,xLaxFePO4,properties,discharge,La



















大鼠,P2X2,三叉神经痛,受体,痛敏,阈值,黄素,TN,TG,0.01














转运站,垃圾,大气质量,臭气,污染物,浓度,大气,二级标准,H2S,NH3
垃圾,资源化,建筑,利用,循环,符合国家,分析,管理体制,全过程,综合利用
公厕,环保,数据分析,不同,适应性,工艺,各类,类型,特征,应用
老城区,环境污染,示范,整治,技术,环境污染问题,环境,控制,研究,水体


salinity,turbot,20,10,activity,specific,immune,40,3.75,anguillarum

化疗,pg,IL,恶性肿瘤,患者,IFN,0.05,水平,高频,电磁


培南,西司,亚胺,ALB,患者,治疗,感染,回顾性,45,BUN
中位数,术后,切口,根治性,腹腔镜,手术,出血量,切除术,时间,75





膜过滤,错流,资源化,城市污水,肥双,料液,恒通,操作,通量,直接
参数,TUD,模拟,预测,模型,iNSF,iNXS,KNH4,6%,处理厂
气水,停留时间,负荷,COD,min,曝气,滤池,硝化,去除率,水力
COD,组分,确定,污水,方法,处理厂,进水,指南,模拟,特性
负荷,污水处理,在线,达标排放,运行,自控,工艺,进水,设备,水质
填料,表面积,强化,悬浮,反应器,试验,表观,孔隙,作用,污染物
曝气,滤池,生物,处理,中水,废水,洗浴,验证,介于,试验
升级,硝化细菌,工艺,活性污泥,脱氮,侧流,BABE,应用,污泥,硝化
鸟粪,沉淀,X射线,曼光谱,含量,傅里叶,分析,衍射,光谱,红外
鸟粪,pH,沉淀,XRD,IR,90.0%,7.0,高纯度,元素,分析






vegetation,growth,climatic,temperature,change,coverage,precipitation,NDVI,factors,warming
source,NDVI,regions,Yangtze,River,Yellow,temperature,region,rivers,change

































HBsAg,HBVDNA,45,血清,病理,患者,乙型肝炎,阴性,阳性,HBcAg





SSR,barbadense,ESTs,EST,primer,pairs,sequence,markers,genetic,cotton
fibroin,lines,fiber,cotton,analysis,quality,gene,PCR,resistance,plants






交配,相遇,实蝇,雌雄,行为,对橘,Bactrocera,dorsalis,Hendel,中雄虫
江苏省,粮食产量,粮食,投入,劳动力,数据模型,负作用,生产,影响,13
协整,大连商品交易所,合约,单位根,ADF,豆一,期货,扮演着,价格,实证
产卵,寄主,实蝇,选择,橘小,性由,高到,蔬菜,形状,颜色















TGP,餐厨,油脂,色谱,精炼,植物油,分数,样品,氧化,食用
甘油三酯,氧化,色谱,组分,极性,聚合物,排阻,油脂,高效,体积
花生油,黄曲霉,去除,毒素,B1,照射,过氧化,紫外,剂量,品质
地沟油,餐厨,油脂,鉴别,技术,检测,仲裁,方法,准确,指标








ERK,ERK1,DR,TLE,颞叶,表达,对照组,Western,blot,ERK2
耐药性,颞叶,CDK5,对照组,免疫组化,表达,患者,蛋白,PCR,Western





















































阻滞剂,心力衰竭,受体,患者,慢性,定州市,心功能,服药,逐年,0.05

10,单胞菌,生物膜,苯乙烯,实验,恶臭,杆菌,生物,净化,动力学
案例,数据库,模块,失效,存储,查询,分析,知识,Visual,C++





充磁,无刷,直流电机,转矩,径向,电机,平行,高速,性能,2.3
无刷,直流电机,转子,000,min,高速,结构,轴承,动力学,双端
无刷,直流电机,永磁,高速,2.3,kW,15,min,铁耗,功率密度
涡流损耗,转子,永磁体,无刷,保护环,直流电机,永磁,磁场,效率,高速






PVA,HA,凝胶,复合,冷冻,解冻,接触,溶胀,变形,次数
涤纶,纹理,织物,因数,摩擦,润滑液,仿平,摩擦学,黏度,斜纹
cutting,alloy,picks,30CrMnMo,wear,resistance,coal,carburization,shearers,erosion












引物,伏令,无核,甜橙,晚熟,ISSR,伏令夏,大果,芽变,扩增
单株,致死温度,质膜,电导率,处理,叶片,低温,抗寒力,温度,单峰
节间,扇形,直线型,螺旋,0.05,横切面,排列,导管,纵横,扭转




pollen,AtVPS15,germination,yeast,plants,mutants,analysis,grains,kinase,plays


TRIZ,流程,管理,工具,应用,解决问题,领域,方法,分析,优化
排程,工人,组合,休息,工作,单人,管理者,方案,时间,目标
发电机,风力,测试,转速,功率,强电,信号,性能,机箱,为离









普洱茶,适宜性,种植,立地条件,适宜,土地,大规模,栽培,模型,评价
土壤侵蚀,东灵山,百花山,景区,样地,GIS,Modeler,USLE,2288,进行
生产潜力,1995,耕地,106t,1990,2000,土地利用,自然,研究,尺度
模式,实施,项目,综合治理,生态环境,农户,生态,联户,带动,封育
景观,生态,自然景观,风险,1991,2004,城市化,快速,过程,自然

草甸,退化,等级,生物量,植被,二年生,中度,重度,多样性,一年生


加密,密钥,解密,方案,具有,安全,Shamir,公钥,发送者,前向
路由,协议,Directed,Diffusion,安全,完整性,网络,无线,传感器,改进
GS,scheme,schemes,secure,shorter,security,proofs,model,assumptions,propose





模板,工程,倒塌,设计,我国,现浇,工程施工,方法,严重后果,管理模式

多氯联苯,色谱法,气质,气相,用法,测定,方法,检出限,液液,回收率




















细胞,IDO,HepG2,Treg,0.05,转染,凋亡,干预,肝癌,MT
IDO,HepG2,转染,质粒,基因,pcDNA3.1,表达,细胞,细胞系,蛋白
IDO,实验组,转染,对照组,HLA,PCR,表达,细胞,pcDNA3.1,空白对照
MT,FOLFOX4,IDO,小鼠,治疗,胃癌,表达,组和,0.05,转染
公共卫生,胜任,边疆民族,医学,预防,实践,科研,高等,培养,人才






积累,物质,hm,开花期,稻茬,超高产,花后,群体,成熟期,000
hm2,籽粒,氮素,9000,产量,群体,稻茬,开花期,小麦,积累
磷素,超高产,开花期,hm,籽粒,群体,成熟期,显著,小麦,转运
hm,积累,物质,晚播,开花期,稻茬,籽粒,产量,成熟期,群体
籽粒,蛋白质,NBI,含量,平衡,冬小麦,指数,空间结构,研究,胁迫
籽粒,冬小麦,遥感,HJ,淀粉,含量,品质,监测,影像,实时



花后,104,剑叶,追肥,氮肥,孕穗期,LAI,基本苗,225,hm















模型,价格,随机,证券,波动,反馈,普适性,现实,鲁棒,预测






信任,算法,合成,搜索算法,路径,主观,搜索,逻辑,准确,冗余

FI,AWD,灌溉,TF,无效分蘖,透光率,群体,增加,抽穗期,产量
秸秆,还田,作物,产量,温室,水稻,排放,气体,米质,还田轻
稻米,水稻,产量,品质,蛋白质,食味,组成,粮食安全,综述,提高
栽培,超高产,高效,高产,常优,thm,叶面积,抽穗,水稻,结果表明

籽粒,株系,蛋白质,含量,产量,水稻,结实率,抽穗,以其为,施氮量
旱种,覆盖,覆草,显著,稻米,产量,水种,含量,直播,根系
秸秆,还田,玉米,氮肥,不施,实地,对照,提高,精米,施氮量
























DTPA,配体,造影剂,氨基,制备,氨酯,PEU,CH2,靶向,Gd3


