

























年表,森林,树轮,宽度,气候,生长,影响,树线,山区,年轮
密度,序列,温度,年表,相关,树轮,区域,平均值,全球,年份
树轮,密度,采集,气候,资料,树木,年轮,样本,数据,规范
降水量,地区,巴仑台,气候,结果表明,方程,基础,序列,要素,生长
树轮,宽度,年表,温度,火烧沟,气温,结果,表明,检验,交叉
降水量,地区,博州,相关,资料,具有,结果,进行,表明,降水
河源,乌鲁木齐,年表,温度,检验,响应,表明,密度,树轮,采样
气候,高温,树轮,宽度,序列,升温,校正,幅度,建立,光合作用
树轮,宽度,年表,生长,下限,研究,关系,森林,气象,结果















































支架,瓣膜,主动脉瓣,球囊,置入,主动脉,置换,动物,位置,扩张












病毒,研究,分子,流感病毒,具有,药物,开展,合成,揭示,设计

















破碎,目的,分析,颗粒,单晶,表面,结果表明,磁化强度,进行,扫描电镜
































分子,自旋,重度,活化,电子,密度,负电荷,键键,理论,铁氧键












基因,表达,中断,发育,相关,分析,材料,模式,时期,细胞

















下颌骨,人工,缺损,技术,个体化,应用,病变,数字模型,修复,临床
制作,技术,代型,常规,适合,个体化,铸造,采用,数据,扫描
应用,软件,个体化,制作,成型,进行,残冠,制造,数据,适合
下颌骨,个体化,缺损,修复,效果,再生,形成,制作,支架,实验













跟随,控制,控制器,系统,主车,偏差,开发,前车,变化,建立
葡萄糖,木糖,发酵,利用,进行,生产,工程菌,技术,敲除,重组




























定价,成本,利润,寡头,获取,转移,产品,垄断,企业,竞争
零售商,供应链,供应商,主导权,利润,协调,渠道,情况,成本,缺货












系统,控制器,方法,设计,执行器,故障,切换,可靠,具有,时滞



































橄榄岩,熔体,年龄,样品,时间,地球化学,具有,可能,代表,体系










































































凝胶,辐射,剂量,药物,溶胀,增加,温度,释放,辐照,电子束




技术,藻类,化感,作用,微囊,富营养化,采用,铜绿,有机酸,研究成果
































化学,工艺,出水,影响,城市污水,药剂,污染,投加,造成,不会
焊点,基钎,模型,力学,行为,技术,合金,封装,本构,基板
























































转移,淋巴结,食管癌,分级,患者,生存率,风险,范围,分析,差异









随访,患者,影响,应答,因素,分析,食管癌,回归,积极性,发现



























































试验,应力,轨道,进行,纵向,布置,测点,闸门,定轮,结构





































氧化,电极,介质,碱性,电化学,表面,光谱,原位,反射,过程

氧化,还原,电荷,性能,空气,研究,测试,迁移率,数量级,结果表明
器件,电致,变色,透射率,双层结构,保持,不变,透明,呈现,性能











反应,融合,单抗,蛋白,应用,获得,重组,淋巴细胞,疫病,发生
皮试,试验,颈部,干扰素,符合,检疫,阳性,检测,结核病,过程
弯曲,腹泻,人群,头孢,空肠,状况,市区,扬州,结肠,感染率

弯曲,空肠,结肠,样品,阳性率,鸡群,方法,阳性,调查,部分













基因,基因型,对象,多态,表型,影响,长度,患者,研究,血管
死亡,端粒,风险,心脑血管,患者,随访,研究,长度,硬化性,脑梗死
活性,基因,研究,转录,荧光素酶,单体,影响,降低,遗传,长度



地基,复合,进行,泥土,给出,搅拌,褥垫,计算公式,处理,系数
转换,偏心,增强,剪切,设计,混凝土,破坏,系数,结构,钢筋
拉杆,约束,钢管,混凝土,方形,试验,压延性,双向,单向,分析方法
桁架,研究,结构,杆件,混凝土,工程,空间,悬臂,整体,预应力
节点,设计,研究,荷载,塑性,试验,满足,型钢,组合,要求


筒体,结构,抗震,工程,措施,支撑,构造,试验,内藏,桁架
试验,钢板,剪力墙,混凝土,边框,分析,组合,延性,钢管,措施
进行,荷载,柱脚,分析,试件,试验,位移,破坏,混凝土,研究
斜折柱,折角,研究,采用,需要,工程,连接,措施,状态,平台












































试验,硝酸,足癣,治疗,股癣,乳膏,刺激,对照组,表现,用药
肿瘤,特点,肿瘤性,天疱疮,临床,方法,伴发,治疗,切除,给予








































蛋白,融合,抗体,分析,获得,表达,水性,进行,结果,细胞
猪瘟,病毒,疫苗,检测,兔化,方法,弱毒,毒株,强毒,定量
















标本,临床,建立,资料,研究,有利于,信息,管理系统,信息化,样本












胶原蛋白,添加,食品,医疗,起到,能够,生物化学,补钙,精制,选用



































胶原,组织,肝细胞,大鼠,方法,观察,植入,染色,新生,注射

细胞,胃癌,肿瘤,生长,抗体,特异性,结肠癌,抑瘤率,单链,作用







































突出,手术,患者,椎间盘,钙化,胸椎,经胸,分级,减压,出现
微创,腰椎,经椎间,患者,进行,发生,造成,感染,体间,手术
患者,手术,疾病,颅颈,进行,融合,交接,先天性,前路,后路
融合,患者,椎间,评价,随访,内窥镜,症状,椎间盘,治疗,椎板
手术,脊柱,过性,畸形,患者,切除,脊椎,病例,技术,后路
腰椎,分析,患者,时间,手术,差异,变性,传统,疾病,发生率
手术,椎间盘,方法,效果,入路,摘除,治疗,局部,切口,突出
























































蛋白,纯化,复性,包涵,检测,囊尾蚴,囊虫,透析,活性,层析
构造,褶带,油气,解释,资料,形成,成果,勘探,地球物理,结合

























浓度,减小,悬沙,趋势,海域,沙量,流域,引起,峰值,入海
流量,水位,河段,冲刷,变化,引起,下降,荆江,河床,洪水位





















平滑肌,吴茱萸,收缩,方法,作为,作用,观察,结果,血管,质量
分离,茯苓,得到,化合物,进行,鉴定,方法,采用,光谱,提取













患者,盐酸,时间,锻炼,疼痛,功能,肌注,治疗,评分,类比


































外标法,内标,含量,结果,测定,电泳,毛细管,进行,法比,剂型












提取物,质量,工艺,回收率,色谱,烟气,香气,增加,精密度,进行




























































配置,进行,观测,算法,模拟退火,数量,搜索,分析,运用,运算
等值,估计,进行,算法,动态,改进,免疫,方法,精度,满足
电池,电动汽车,管理,方法,电站,技术,信息,流动,功率,电网
电缆,运行,受潮,研究,加热,接头,水平,电导率,作为,绝缘
电动汽车,价值,单元,分析,价值链,增长点,模式,市场推广,找出,补给
电池,服务,补充,优化,成本,目标,调度,策略,阶段,电动汽车
等值,估计,免疫,算法,小生境,电网,天津,问题,实用性,响应
微网,交换,功率,模型,能力,优化,求解,配网,响应,评估
参数,负荷,辨识,建模,目标,进行,问题,算法,改进,基础
电能,质量,数据,技术,进行,融合,系统,信息,平台,电力
电网,模型,等值,进行,采用,提出,算法,免疫,传统,特性













预测,食用油,模型,方法,样本,训练,算法,测量,支持,利用
天线,极化,端口,组成,提出,获得,要求,应用,增益,网络






通量,操作,复合膜,进行,压力,水质,中水,城市污水,住宅区,排水
碳纤维,原丝,质量,制得,聚丙烯腈,纺丝,过程,原液,研究进展,溶液聚合
实验,能力,进行,学生,提高,化学,大学生,优化,制定,提出
关系,方面,发展,催化剂,改进,综合,消解,样品,方法,需氧量
改性,方式,城市污水,增大,系数,过滤,通量,进水,处理,采用












含量,配分,作用,改造,海水,进行,分析,稀土,具有,类型

沉积,三角洲,库车,发育,重点,分析,综合,特点,相等,沉积相
样品,陨石,冲击,变质,岩石学,类型,风化,化学,特征,考察队
水层,典型,识别,方解石,油气,油层,特征,成岩,三萜,主峰

































糖蜜,酒精,废液,蛋白,去除率,利用,驯化,效果,氧化,生产


土壤,污染区,形态,结合态,含量,差异,电镀,废水,有效性,研究

同位素,年龄,方法,进行,利用,质谱法,研究,对比,耦合,矿区
同位素,测定,锆石,获得,样品,岩体,杂岩,江山,标样,辉长岩
年龄,同位素,方法,测定,原位,准分子,前景,进行,报道,利用
地球化学,山带,时代,特征,边缘,一带,特点,程度,华北,相当于
辉长,辉绿岩,华北,景区,裂解,大陆,年龄,哥伦比亚,质谱法,岩浆
锆石,晶化,方位,火山,入射,成因,光束,质谱,发现,晶化度






























疫源地,动物,鼠疫,绒鼠,鼠体,监测点,鼠型,捕获,结果,客蚤
采用,调查,分布,涉县,容器,传播媒介,指数,资料,发现,河北省
















订单,制造商,零售商,策略,研究,市场,声明,影响,决策,利润率
信用,物流,缺乏,交易成本,完善,管理,影响,中介机构,发展,企业
信任,情感,共享,信息,私人关系,研究,高管,能力,模型,企业
提前,费用,模型,供应链,交货期,分担,库存,缩短,数值,决定
研究,承诺,共享,信息,信任,影响,给出,实证,客户,关系
精益,生产,基础,特性,工作,因素,人员,研究,实证,奠定
财务会计,面向对象,住房,技术,公积金,系统,设计,实现,分析,记账法
服务业,制造业,生产性,共生,影响,因素,企业,样本,关系,模型

供应商,提高,参与,压力,构建,产品质量,合作伙伴,进入,识别,能力



河网,浓度,水体,排放,通量,溶存,研究,天津,饱和度,高于
进行,分区,减灾,灾害,风险,防灾,地下水,分析,叠加,能力




模型,环境,含量,遗传,小麦,结合,品质,标记,性状,分子
效应,单株,穗数,遗传,环境,基因,基因型,株系,互作,预测
含量,小麦,耐寒性,产量,低温,胁迫,蛋白,生理,单株,活性
分蘖,单株,穗数,遗传,标记,分子,变异,加性,小麦,控制


















断裂,珠江三角洲,网纹,红土,变化,覆盖,粘土,地层,倾角,层理
矿山,环境,地球化学,过程,金属,效应,转化,酸性,废水,大量
盆地,油气藏,油气,资源,开发,构造,认识,储层,勘探,新生界
界面,矿山,迁移,重金属,控制,金属元素,土壤,污染,金属,反应
沉积,湿润,河口湾,气候,出现,浅海,杭州湾,学科,沉积层,分出
孢粉,信息,沉积环境,人类,三角洲,特征,气候,变化,活动,沉积
土壤,重金属,含量,元素,蔬菜,农田,富集,空间,分布,相应

















哌虫啶,异构体,土壤,光学,结合,矿化,残留,分布,手性,差异
多菌灵,茶叶,残留量,样品,测定,方法,组分,体积,配备,两者
降解,菌株,初始,鉴定,研究,方法,油菜,接种,相似性,序列
蛋白,水稻,含量,华池,表达,生育期,性状,土壤,研究,水平
草醚,水稻,油菜,增加,单位,质量,根系,吸收量,植物,分布
降解,草醚,浓度,效果,技术,方法,传统,筛选,丙酯,进行
测定,溶剂萃取,加速,羽绒,羽毛,方法,色谱,液相,可靠,含量
噻菌灵,样品,蔬菜,方法,要求,测定,残留量,进行,满足,苯菌灵











研究,阻燃,硬质,阻燃剂,问题,提出,解决,相关,技术,综述
混凝土,管桩,效率,减水剂,流动性,减水,羧酸,萘系,加入,影响
硫化,进行,改性,填料,力学性能,缩短,复合材料,提高,橡胶,改善
阻燃,材料,大分子,可达,阻燃性,表面,结果表明,处理,热稳定性,点燃


淋巴细胞,硫酸,多糖,增殖,培养,复方,外周血,浓度,血凝素,植物
复方,中药,免疫,血清,调节,新城疫,途径,降低,发病,观察
作用,提取,成分,方式,部位,干扰,试验,过程,对抗,纤维细胞
外周血,淋巴细胞,转录,分子,培养,增强,免疫,脂质体,甘草,白细胞
蛋白,提纯,层析,检测,病毒,条带,过滤,血凝,凝胶,抗原


















信息,服务,进行,风险,企业,决策,调研,分析,中性,中国









细胞,表达,增殖,蛋白,能力,下降,基因,通路,信号,水平







































再生,钢管,混凝土,长柱,偏心,受压,试验,应变,试件,研究

混凝土,组合,拱桥,结构,设计,钢腹杆,进行,应用,拱圈,施工




教学,学生,教材,课程,数字,教学模式,体会,效能,提升,思维能力
绿谷,信息,健康状况,公司员工,采集,进行,员工,应用,分析,可能

































































绝缘,油纸,系统,变压器,介质,响应,技术,频域,测量,测试

谐振,铁磁,断路器,发生,抑制,电容,拐点,备用,特性,断开












控制,运动,干扰,系统,设计,滑模,离散,性能,问题,模型














反演,模型,云液,边界,方法,分布,目标,试验,正则,辐射计

目标,阻塞,模型,中断,负荷,情况,算法,系统,结合,输电
发电,节点,成本,独立性,损微,系统,增率,进行,经典,优化

模型,馈线,估算,混合,损耗,计算,架空线,回归,电缆线,分析
















缺氧,转染,细胞,缺陷,复制,重组,腺病毒,基因,表达,对照组
患者,综合征,肠系膜,动脉,压迫,治疗,呕吐,诊断,空肠,腹部
检测,孤岛,方法,电压,负荷,基础,变化,现象,系统,是否
放电,实验,八边形,结构,电压,外加,进行,斑图,研究,时空
激光,系统,光栅,衍射,图像,目标,采集,进行,告警,识别
等效,利用,方程组,方法,电压,节点,进行,负荷,需要,参数
显示,时序,激光,系统,告警,探测,串行,速度,进行,凝视

变电站,网络,提升,数据流,实现,减少,环网,并行,无缝,协议





合成,结构,产物,条件,钙钛矿,数据,降低,生成,杂质,具有
沼渣,比例,基质,光合,植株,光化学,技术,曲线,荧光,叶片




抗体,免疫,壁虎,获得,特异性,基础,显示,所得,实验,蛋白










































白血病,表达,浸润,肿瘤,可能,发展,对照组,检测,年龄,转移


















体系,混合,荧光,浓度,拟合,活性剂,发射,表面,分峰,糖苷
浓度,可见,吸收,表面,活性剂,二聚体,光谱,体系,拟合,吸收光谱



















水质,光谱,化学,测定,实验室,全息,光栅,预防,现场,要求
算法,故障,检测,策略,节点,传感器,分布式,扩散,指出,网络故障
融合,保护,结构,算法,方面,数据,能力,精确性,计算,复杂度




细胞,形态,保护,浓度,海马,作用,凋亡,荧光,处理,大鼠















位点,构象,检测,研究,标记,运动性,变化,加入,实验,趋性












硫酸,色谱,值至,复方,基柱,面积,测定,波长,质量,含量
稳定性,阿仑,肠溶片,释放,进行,含量,质量,本品,有效期,改变
片剂,含量,有关,条件,物质,下使,辅料,药物,有益,硬脂酸
西归,采用,方法,提取,条件,含量,选择,进行,分光,提供
释放,渗透,泵片,双层,乙烯,制备,用量,处方,辅料,聚氧








反应,氧基,收率,进行,催化剂,选择性,作用,速度,投料,溶剂







集成,设计,性能,流程,场合,计算方法,体积,参数,手段,提出
系统,功率,冷却,磁体,储能,监控,故障,机端,发电机,引起
模块,控制器,实验,数目,应用,设计,输电,变流器,领域,控制
负载,调整,控制,逆变,电阻,虚拟,进行,系统,平台,影响






方法,信号,波包,分解,状态,进行,阈值,噪声,改进,故障
硝化,动力学,方程,实际,系统,垃圾,常数,试验,生物,速率
应用,工艺,分析,生物,滤池,工程,关键性,典型,方面,结构

优化,能力,提出,组合,参数,函数参数,选择,因子,基因,影响
液压泵,预测,背景,间距,进行,制定,数据,寿命,含量,阈值
信号,分解,振动,液压泵,故障,进行,磨损,波包,齿轮泵,提取
提取物,参莲
盐度,抑制,积累,质量,浓度,提高,影响,硝化,采用,因素

熏蒸,精油,活性,淡色,库蚊,采用,三角瓶,植物,圆筒,艾叶油

土壤,活性,耕作,保护性,下降,上升,表现,影响,趋势,为先


注射,研究,技术,疼痛,进行,在于,领域,自主,工程,医疗
摩擦,性能,行驶,工况,影响,材料,试验,汽车,模拟,工艺
制动,过程,进行,噪声,尖叫,分析,优化,软件,振动,模态



脉冲,作为,晶体,功率,介质,抽运,输入,倍频,宽度,转换




转化,植物,土壤,稳定性,关系,技术,研究,同位素,光合,应用

胁迫,植物,磷素,利用,响应,面临,耕地,热点,研究,吸收
大豆,单株,产量,含量,增加,籽粒,富集,降低,幅度,遮阴
土壤,处理,活性,垦殖,季节性,变化,黑土,研究,峰值,出现
大豆,抗旱性,基因型,抗旱,荚率,评价,指标,成分,产量,系数
活性,拮抗,粘类,抗菌,菌株,具有,杆菌,分离,代谢,产物
生态,服务,土地利用,效应,海伦市,用地,价值,变化,利用,分析
水稻,栽培,提高,条件,影响,面积,单位,产量,叶面积,特点



对照组,单核细胞,评分,试验,白细胞,体外循环,百分比,手术,计数,浓度
心肌病,反应,移植,免疫,排斥,急性,心脏,病毒感染,巴利,服用
单核细胞,对照组,评分,试验,计数,手术,白细胞,百分比,体外循环,浓度
手术,体温,粒细胞,评分,中性,计数,百分比,对照组,白细胞,实验组
对照组,计数,评分,白细胞,粒细胞,中性,低于,体外循环,手术,浓度




损伤,模型,长度,混凝土,局部,过程,演化,依赖,行为,特征
注水,煤层,地压,冲击,防治,水驱气,应变,工艺,选择,时间
教育,专业,实践,进行,教学,体系,改革,设计,整体,给出




记录,季风区,气候,沉积物,黄土高原,天池,陆源,西北,结合,内陆
黄土,古气候,研究,中国,中亚,欧亚大陆,变化,尺度,欧洲,历史
气候变化,干旱区,研究,丝路,科学,亚洲,气候,演化,地区,环境
体细胞,诱导,组织,培养基,萌发,外植体,胚龄,胚性,分化,采用
刺槐,方式,授粉,花粉,交配,杂交,结果表明,开花,可授,雌蕊







穴位,电针,经络,氧分压,调控,灌注,血流,通道,线穴,相关
缺氧,急性,电针,心功能,志愿者,指数,阻力,外周血,采用,针刺
缺氧,电针,心功能,急性,志愿者,指数,混合气体,针刺,阻力,记录
进行,系统,软件,测量,显示,检测,具有,阻抗,皮肤,采集
模型,穴位,治疗,免疫,家兔,功能,脾气,注射,特异性,浓度




土壤,尿素,氮肥,包膜,竹炭,淋失,氮素,影响,处理,施用









孢粉,荒漠,植被,表土,空间,草原,针叶林,温带,浓度,草甸




规划,理念,产业园,园区,高新技术,问题,交通,居住区,分区规划,失配

公房,住房,建筑,进行,改造,问题,历史,保护,社会,升级
公共政策,规划,增强,方面,编制,属性,程序,城市规划,执行,关注

城市,发展,中国,边缘,开发区,转型,郊区化,美国,大城市,形成



社会,城市,广州,空间,成为,空间结构,西关,作为,影响,贵族
污水,压缩机,机组,源热泵,提高,系数,性能,工况,条件,工作






水质,风险,识别,污染物,引黄,评估,体系,技术,控制,供水










寡肽,矿化,蛋白,组装,釉质,两亲性,模板,生物,釉原,分子














植物,方面,杂草,恶性,中药材,病虫害,利用,畜牧业,林业,农业
粉剂,可湿性,赤星,实验,抑制,方法,病菌,菌落,对比,烟草
醪液,沼气,实验,酒精,采用,批量,工艺,发酵,淀粉,固液
消化,气量,有机,生活,城市,垃圾,高峰期,工艺,探索,变化
根腐病,土壤,细菌,高发期,类群,放线菌,找出,霉菌,高峰期,特征
协同,作用,污染,臭氧,负载,方式,去除率,水体,处理,利用
堆肥,秸秆,生长,发酵,原料,生产,用于,复合肥,菌剂,农作物

沼气,发酵,原料,实验,工艺,进行,采用,产气,批量,作为
发酵,沼气,甘蔗渣,实验,原料,燃烧,进行,提高,条件,下以
发酵,沼气,甘蔗渣,实验,原料,燃烧,进行,提高,条件,下以


碱基,相关,遗传,序列,结构,基因,突变,改变,进化,分析
脊髓,豚鼠,免疫,改变,运动神经元,运动,肌肉,肌电图,介导,损伤
细胞,胶质,脊髓,培养,星形,传代,源性,方法,形态,进行
基因,人群,多态性,河北,遗传,结果,频率,基因型,分布,方法














水鸟,面积,环境,因子,影响,密度,分布,斑块,苔草,分析
应用,表面,生物,活性剂,高产,获取,进行,技术,具有,诱变
洞庭湖,水位,数据,水量,蓄水量,截流,水面,流域,估算,空间
污泥,处理,剩余,成本,成为,面临,污水处理,污水,提高,处置


振动,控制,模态,压电,柔性,采用,利用,结构,独立,结果表明
测量,表面,应用,表征,物体,特性,变形,翅膀,技术,扫描
激光,载荷,处理,拉伸,进行,研究,铝合金,分析,区域,变形














































气候,预测,台风,生成,对流层,纬向风,下层,活动,西太平洋地区,西太平洋

对应,雨带,指数,关键,环流,风场,相关,降水,找到,资料

飓风,大气,台风,研究,变化,联系,大西洋,热带,区域,耦合





















电源,相应,谐振,拓扑,工作,开关,减小,能量,问题,噪声污染
系统,电能,传输,控制策略,恒幅,适用,方案,接触,运行,设计
传输,信号,方法,电路,系统,实现,耦合,调制,解调,提出


结构,电压,输出,拓扑,负载,模式,系统,切换,给出,类型







密度,细胞,条件,水流,影响,组成,流速,藻类,速度,高于

大气,增加,水库,作用,产甲烷,气体,温室,运行,化石,燃烧
通量,释放,交换,界面,范围,大气,排放,变化,观测,结果表明


吗啡,血浆,方法,提取,药动学,患者,研究,分析,盐酸,检测
产妇,静脉,内径,低血压,腰麻,下腔,观察,臀部,剖宫产,超声





基因,显示,蛋白,表达,分析,差异,稳定性,热力学,同源,重组








全球,护理,双方,蛋白,增加,病理,流行病学,分型,大家,治愈
治疗,代谢,葡萄糖,患者,患侧,针刺,对照组,额叶,调血,益气

去垢,提取物,脂筏,蔗糖,特性,提取,脂质筏,剂法,量化,结论
治疗,大面积,脑梗死,针刺,针药,采用,西药,缺损,程度,神经功能

气化,以利,中脘,扶本,培元,治疗,理论,创立,新病,取穴



旋转,老化,现象,行为,标准,动物模型,评定,同向,进行,造模
种子,演替,土壤,阶段,群落,恢复,密度,植被,物种,流动沙丘

幼苗,出土,植物,萌发,深度,山竹,繁殖,黄芪,增加,锦鸡儿


森林,研究,减少,河川,影响,径流量,流域,功能,径流,水分
社会,节水型,水资源,建立,区域,种植,完善,农业,体系,建设
土壤,动物,地形,空间,分布,影响,格局,部位,研究,坡向


血脂,治疗,初诊,患者,胰岛素,计算,血糖,水平,升高,干预
胰岛素,患者,糖尿病,细胞,功能,诊断,分泌,胰岛,空腹,血糖






算法,行为,求解,鱼群,进行,问题,车辆,路径,人工,运送
改进,运输,车辆,配送,算法,扫描,服务,单车,物资,遗传算法

汇率,中国,经济,因素,政策,关系,人民币,机制,升值,加剧
视角,全球,经济,研究,调整,国际,重点,成因,可持续性,制定者
战略,互利,角度,实施,经济学,经历,中国,让利,回顾,有助于
增长,经济,质量,研究,问题,标准,评价,美国,方面,差距
技术,地区,投资,外商,因素,提高,投入,水平,效率,吸引
美国,人民币,影响,升值,不会,收支,贸易,产生,贸易顺差,改善
美国,进口,增长,经济,下降,研究,制成品,分析,中国,进行
经济,格局,效应,亚太经济,发展,转移,超强,规律,结构,差异
美国,中国,轮胎,政策,贸易,利益集团,实施,约束,磋商,游说
收入,流动性,效应,分配,增长,数据,有助于,构建,模型,分解

载体,核酸,疫苗,表达,构建,基因,绿色,蛋白,进入位点,荧光








模型,过程,螺旋,实物,开发,期权,决策,软件,项目,复合

共享,消费者,知识,风险,主体,感知,问卷,虚拟社区,特征,首购
影响,分配,模型,目标,采购,订单,信息,可能,不确定性,模糊性









运行,炉排,垃圾,原始,国家标准,开发,独立,知识产权,具有,社会效益




社区,算法,发现,个体,信息,划分,模型,链接,具有,属性
支持,单类,向量,样本,应用,数据,检测,领域,标号,方面


支持,向量,局部,蕴含,一致性,样本,信息,提出,训练,集中



流动,蒸汽,凝结,研究,汽轮机,应用,工程,数值,方面,起到





小鼠,黏膜,肠道,小肠,损伤,模型,刺参,指数,统计,表达
离子,添加,研究,水解,活性,检测,方法,鱼肉,新鲜,色谱
水解,色谱法,方法,葡萄糖,衍生,液相,定量,糖原,进行,含量
海参,硫酸,软骨素,海域,取代,分析,进行,指标,鉴别,图谱
磷脂,脂质体,小鼠,提高,肿瘤,抑制,探讨,特异性,吞噬,指数
斑点杂交,海参,刺参,方法,基因,实验,特异性,进行,探针,鉴定
分化,细胞,脂肪,增殖,表达,采用,影响,地瓜,蛋白,结合
胃溃疡,溃疡,模型,大鼠,硫酸,软骨素,海参,作用,出血,指数
标准,检测,进行,曲线,定量,反应,灵敏度,样品,制备,牡蛎
水解,配合,研究,有机磷,农药,有助于,应用,进行,结果表明,减少

数据,被动,微波,分辨率,土壤,结果,含水量,研究,影响,植被
影响,人类,活动,流域,过程,径流量,情况,下降,增加,土地利用
土壤水分,温度,变化率,地表,作者,尺度,空间,关系,数据,水循环
灾害,进行,评价,危险性,降雨量,巴基斯坦,地形,分析,运用,综合
城市道路,选取,重要性,进行,排序,方法,技术,基本原理,矢量,级别
用地,数据,京津冀,空间,城镇,科学,都市,相关,增长,新增
遗传算法,基因,剖分,改进,传统,速度,执行,矩阵,适应度,函数
教育,发展,均衡性,人民,评价,决策,群众,情况,政策,模型
地形,数据,算法,计算,进行,绘制,实现,网格,场景,表明
地下水,水质,研究,分布,盆地,进行,指标,浅层,综合,评价











































研究,评估,认知,临床,采用,治疗,问题,老年人,进行,标准










信息,理论,发展,国家,成为,方面,事关,密码学,介绍,技术

























评价,参数,油页岩,关键,矿体,资源,求取,标准,包括,发热量
油页岩,火山,粉煤灰,泥炭,增强,陶瓷,测试,燃烧,放出,形成

元素,油页岩,地壳,分析,无机,特征,含量,耦合,等离子体,电感
时期,地温,演化,热史,模拟,回升,烃源,达到,成熟期,降温
页岩,北美,油页岩,富集,微量元素,含量,陨石,标准化,分布模式,灰渣
重力,研究,分散,认为,体系,特征,沉积物,揭示,结合,地震
烃源,研究,潜力,进行,特征,勘探,评价,指标,铜钵,凹陷
沉积,发育,手段,能谱,准层,三角洲,沉积物,叠加,层序,研究










蜂窝,系统,频谱,机制,频段,方法,传统,资源,概率,比例












遗传,单元,研究,蓟马,西花,位点,引物,揭示,结构,标记
种群,感染,检测,基因,果蝇,结果,引物,进行,害虫,影响
玉米螟,亚洲,遗传,支系,种群,山东省,分化,分析,山东,序列
种群,遗传,入侵,研究,地中海,分析,机制,烟粉,微卫星,具有
样品,烟粉,温室,辽宁省,混合,分析,白粉,病毒,进行,携带
消解,氯虫,噻虫嗪,残留,芥蓝,进行,剂量,结果表明,研究,动态











人工,基质,影响,效果,碳源,总氮,因素,有机,组合,去除
滴滤池,生活,组合,工艺,农村,负荷,运行,处理,采用,参数
